of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
twenty-eight-year-old|JJ|The twenty-eight-year-old man was an athlete.|двадцативосьмилетний|Двадцативосьмилетний мужчина был спортсменом.
proofing|NN|The baker worked on the dough's proofing.|расстойка|Пекарь работал над расстойкой теста.
fill-in-the-blank|JJ|The test had a fill-in-the-blank section.|с заполнением пропусков|Тест содержал раздел с заполнением пропусков.
discursively|RR|He spoke discursively, covering many topics.|рассудительно|Он говорил рассудительно, охватывая многие темы.
overtrain|VV0|He tends to overtrain before competitions.|перетренироваться|Он склонен перетренироваться перед соревнованиями.
burgess|NN|The burgess was elected to represent the town.|бургомистр|Бургомистр был избран представлять город.
steno|NN|The steno took notes rapidly during the trial.|стенографистка|Стенографистка быстро записывала во время суда.
spawner|NN|The fish was a prolific spawner.|нерестилище|Рыба была плодовитым нерестилищем.
seaborne|JJ|The seaborne trade was prosperous.|морской|Морская торговля была процветающей.
symbolise|VV0|The dove symbolises peace.|символизировать|Голубь символизирует мир.
supportable|JJ|The theory was supportable with evidence.|подтверждаемый|Теория была подтверждаема доказательствами.
short-seller|NN|The short-seller profited from the market crash.|спекулянт|Спекулянт заработал на крахе рынка.
muscularity|NN|His muscularity was impressive.|мускулатура|Его мускулатура была впечатляющей.
bioaerosol|NN|The bioaerosol was studied in the lab.|биоаэрозоль|Биоаэрозоль был изучен в лаборатории.
downregulation|NN|Downregulation affected the gene expression.|снижение регуляции|Снижение регуляции повлияло на экспрессию генов.
best-laid|JJ|The best-laid plans often go awry.|самый продуманный|Самые продуманные планы часто идут наперекосяк.
mutability|NN|The mutability of the policy caused issues.|изменчивость|Изменчивость политики вызвала проблемы.
sous-chef|NN|The sous-chef prepared the ingredients.|су-шеф|Су-шеф подготовил ингредиенты.
weird-looking|JJ|The weird-looking creature fascinated the scientists.|странного вида|Существо странного вида заворожило ученых.
sagacious|JJ|The sagacious leader made wise decisions.|мудрый|Мудрый лидер принимал взвешенные решения.
intraspecific|JJ|The intraspecific competition was intense.|внутривидовой|Внутривидовая конкуренция была интенсивной.
tweeze|VV0|She decided to tweeze her eyebrows.|выщипывать|Она решила выщипывать свои брови.
coptic|NN|The Coptic Church has ancient traditions.|коптский|Коптская церковь имеет древние традиции.
commentariat|NN|The commentariat was divided on the issue.|комментариат|Комментариат разделился по этому вопросу.
spitting|NN|Spitting in public is frowned upon.|плевание|Плевание на публике осуждается.
puzzlemaster|NN|The puzzlemaster created challenging crosswords.|мастер головоломок|Мастер головоломок создал сложные кроссворды.
pre-race|JJ|The pre-race briefing was detailed.|предгоночный|Предгоночный инструктаж был подробным.
catch-and-release|JJ|They followed a catch-and-release policy for fishing.|политика поймал-отпустил|Они следовали политике поймал-отпустил при рыбалке.
disrespectfully|RR|He spoke disrespectfully to his elders.|неуважительно|Он говорил неуважительно со старшими.
brassica|NN|Brassica vegetables are healthy.|крестоцветные|Крестоцветные овощи полезны для здоровья.
danceable|JJ|The song was very danceable.|танцевальный|Песня была очень танцевальной.
spermicide|NN|They used spermicide as a contraceptive.|спермицид|Они использовали спермицид как контрацептив.
communality|NN|The communality of the group was strong.|общность|Общность группы была сильной.
wiretapping|JJ|Wiretapping is illegal without a warrant.|прослушивание|Прослушивание незаконно без ордера.
jewess|NN|The jewess was known for her beauty.|еврейка|Еврейка была известна своей красотой.
urbanity|NN|The urbanity of the city was appealing.|городская культура|Городская культура была привлекательной.
personified|JJ|He personified the ideal leader.|олицетворенный|Он олицетворял идеального лидера.
anti-incumbent|JJ|The anti-incumbent sentiment was growing.|антиправительственный|Антиправительственные настроения росли.
best-picture|JJ|The film won the best-picture award.|лучший фильм|Фильм получил награду за лучший фильм.
advisee|NN|The advisee met with her mentor regularly.|подопечный|Подопечная регулярно встречалась со своим наставником.
nephritis|NN|Nephritis is a serious kidney condition.|нефрит|Нефрит - это серьезное заболевание почек.
tittle|NN|The document had every tittle in place.|знак препинания|Документ содержал каждый знак препинания.
uncultured|JJ|He was seen as uncultured and rude.|некультурный|Его считали некультурным и грубым.
ineradicable|JJ|The memory was ineradicable from his mind.|неискоренимый|Воспоминание было неискоренимо из его сознания.
flag-draped|JJ|The flag-draped coffin was a solemn sight.|покрытый флагом|Гроб, покрытый флагом, был торжественным зрелищем.
good-time|JJ|They had a good-time atmosphere at the party.|веселая|На вечеринке была веселая атмосфера.
half-shell|NN|The oysters were served on the half-shell.|на полураковине|Устрицы подавали на полураковине.
sensation-seeking|JJ|His sensation-seeking behavior worried his friends.|поиск острых ощущений|Его поведение в поиске острых ощущений тревожило его друзей.
year-earlier|JJ|The year-earlier data showed growth.|год назад|Данные за прошлый год показали рост.
four-digit|JJ|He entered a four-digit PIN code.|четырехзначный|Он ввел четырехзначный ПИН-код.
bowstring|NN|He pulled the bowstring back carefully.|тетива|Он осторожно натянул тетиву.
palindrome|NN|The word 'radar' is a palindrome.|палиндром|Слово "радар" - это палиндром.
bulrush|NN|The bulrush grew by the water's edge.|камыш|Камыш рос у края воды.
victuals|NN|The victuals were enough for the journey.|припасы|Припасов хватило на путешествие.
medievalist|NN|The medievalist lectured on the Middle Ages.|медиевист|Медиевист читал лекцию о Средних веках.
patient-specific|JJ|The treatment was patient-specific.|индивидуализированный|Лечение было индивидуализированным для пациента.
tuned|JJ|The instrument was finely tuned.|настроенный|Инструмент был точно настроен.
thawed|JJ|The meat was thawed and ready to cook.|размороженный|Мясо было разморожено и готово к приготовлению.
rootworm|NN|The rootworm damaged the crops.|корневой червь|Корневой червь повредил урожай.
inflatable|NN|The kids played on the inflatable.|надувной|Дети играли на надувном сооружении.
extemporaneous|JJ|His extemporaneous speech was impressive.|экспромт|Его речь экспромтом была впечатляющей.
analyte|NN|The analyte was detected in the solution.|анализируемое вещество|Анализируемое вещество было обнаружено в растворе.
acupressure|NN|She tried acupressure for pain relief.|акупрессура|Она пробовала акупунктуру для снятия боли.
tigress|NN|The tigress protected her cubs fiercely.|тигрица|Тигрица яростно защищала своих детенышей.
duodenum|NN|The doctor examined the duodenum.|двенадцатиперстная кишка|Врач осмотрел двенадцатиперстную кишку.
shoot-down|NN|The shoot-down was accidental.|сбитие|Сбитие произошло случайно.
last-second|JJ|He made a last-second decision.|в последнюю секунду|Он принял решение в последнюю секунду.
enfeeble|VV0|The disease began to enfeeble him.|ослаблять|Болезнь начала ослаблять его.
towny|NN|The towny knew all the local gossip.|горожанин|Горожанин знал все местные сплетни.
hormonally|RR|Hormonally, she was out of balance.|гормонально|Гормонально, у нее был дисбаланс.
meanderings|NN|His meanderings led him far from home.|блуждания|Его блуждания увели его далеко от дома.
debugging|NN|Debugging the code was time-consuming.|отладка|Отладка кода была времязатратной.
bopper|NN|The teen was a big fan of bopper music.|любитель бопа|Подросток был большим поклонником музыки боп.
rescission|NN|The contract rescission was unexpected.|расторжение|Расторжение контракта было неожиданным.
disaggregation|NN|Disaggregation of the data revealed trends.|разделение|Разделение данных выявило тенденции.
non-cognitive|JJ|The test measured non-cognitive skills.|некогнитивные|Тест измерял некогнитивные навыки.
ciabatta|NN|He ordered a sandwich on ciabatta bread.|чиабатта|Он заказал сэндвич на хлебе чиабатта.
pneumocystis|NN|Pneumocystis pneumonia is a serious condition.|пневмоцисты|Пневмоцистная пневмония - серьезное заболевание.
fear-mongering|JJ|The fear-mongering campaign spread quickly.|сеющий страх|Кампания по сеянию страха быстро распространилась.
per-share|JJ|The earnings-per-share increased this quarter.|на акцию|Прибыль на акцию увеличилась в этом квартале.
second-level|JJ|They reached the second-level in the game.|второй уровень|Они достигли второго уровня в игре.
godhood|NN|The character's godhood was central to the plot.|божественность|Божественность персонажа была центральной в сюжете.
entrepreneurialism|NN|Entrepreneurialism is encouraged at the school.|предпринимательство|Предпринимательство поощряется в школе.
voluntarism|NN|Voluntarism is vital for community projects.|волонтерство|Волонтерство важно для общественных проектов.
seventy-year-old|JJ|The seventy-year-old building was renovated.|семидесятилетний|Семидесятилетнее здание было отреставрировано.
asphyxia|NN|The cause of death was asphyxia.|асфиксия|Причиной смерти была асфиксия.
three-to-one|JJ|They won the match three-to-one.|три к одному|Они выиграли матч со счетом три к одному.
all-too-common|JJ|Such mistakes are all-too-common.|слишком частые|Такие ошибки слишком часты.
mope|NN|His mope after the breakup was noticeable.|уныние|Его уныние после расставания было заметным.
immunogenicity|NN|The vaccine's immunogenicity was tested.|иммуногенность|Иммуногенность вакцины была протестирована.
pertinence|NN|The pertinence of the question was clear.|уместность|Уместность вопроса была очевидна.
watered|JJ|The watered plants thrived in the garden.|политый|Политые растения процветали в саду.
supernaturalism|NN|The book explored themes of supernaturalism.|сверхъестественное|Книга исследовала темы сверхъестественного.
triadic|JJ|The triadic relationship was complex.|триадный|Триадные отношения были сложными.
lower-quality|JJ|The lower-quality product was cheaper.|низкокачественный|Низкокачественный продукт был дешевле.
pedantry|NN|His pedantry annoyed his colleagues.|педантичность|Его педантичность раздражала коллег.
mediterranean-style|JJ|They built a Mediterranean-style villa.|средиземноморский|Они построили виллу в средиземноморском стиле.
stickleback|NN|The stickleback fish is common in streams.|колюшка|Рыба колюшка часто встречается в ручьях.
non-cooperation|NN|Non-cooperation hindered the project's progress.|некооперация|Некооперация препятствовала прогрессу проекта.
carotenoid|JJ|Carotenoid pigments give carrots their color.|каротиноидный|Каротиноидные пигменты придают моркови ее цвет.
parents/guardian|NN|The form required a signature from a parents/guardian.|родители/опекун|Форма требовала подписи от родителей или опекуна.
busker|NN|The busker played guitar on the street corner.|уличный музыкант|Уличный музыкант играл на гитаре на углу улицы.
oh-oh-oh|UH|'Oh-oh-oh,' she exclaimed in surprise.|ох-ох-ох|«Ох-ох-ох», — воскликнула она в удивлении.
plowshare|NN|The farmer sharpened the plowshare.|лемех|Фермер заточил лемех.
metathesis|NN|Metathesis is common in linguistic changes.|метатеза|Метатеза распространена в лингвистических изменениях.
self-parody|NN|The comedian's act was a self-parody.|самопародия|Выступление комика было самопародией.
hitmaker|NN|The producer was a well-known hitmaker.|создатель хитов|Продюсер был известным создателем хитов.
kiddy|JJ|The kiddy pool was shallow and safe.|детский|Детский бассейн был мелким и безопасным.
techy|JJ|The techy device was popular among teens.|техничный|Техническое устройство было популярно среди подростков.
uprightness|NN|His uprightness made him respected in the community.|честность|Его честность сделала его уважаемым в обществе.
arcadian|JJ|The arcadian setting was peaceful and serene.|аркадский|Аркадская обстановка была мирной и спокойной.
right-sided|JJ|He had right-sided weakness after the stroke.|правосторонний|После инсульта у него была слабость правой стороны.
mange|NN|The dog suffered from mange.|чесотка|Собака страдала от чесотки.
clindamycin|NN|Clindamycin was prescribed for the infection.|клиндамицин|Клиндамицин был назначен для лечения инфекции.
pictogram|NN|The pictogram was easy to understand.|пиктограмма|Пиктограмма была легко понятна.
umami|NN|Umami is the fifth taste.|умами|Умами — это пятый вкус.
ethnomusicologist|NN|The ethnomusicologist studied traditional music.|этномузыковед|Этномузыковед изучал традиционную музыку.
tachometer|NN|The tachometer showed the engine's speed.|тахометр|Тахометр показывал скорость двигателя.
wheatgrass|NN|Wheatgrass juice is believed to have health benefits.|пшеница|Считается, что сок из пшеницы полезен для здоровья.
schmaltzy|JJ|The movie was too schmaltzy for his taste.|сентиментальный|Фильм был слишком сентиментален для его вкуса.
cooling-off|JJ|They had a cooling-off period after the argument.|остывание|После спора у них был период остывания.
fiber-rich|JJ|She followed a fiber-rich diet.|богатый клетчаткой|Она придерживалась диеты, богатой клетчаткой.
highchair|NN|The baby sat in a highchair during dinner.|детский стульчик|Малыш сидел в детском стульчике во время ужина.
bluebonnet|NN|The bluebonnet is the state flower of Texas.|синяя шляпа|Синяя шляпа — государственный цветок Техаса.
defibrillation|NN|Defibrillation saved the patient's life.|дефибрилляция|Дефибрилляция спасла жизнь пациента.
ovoid|JJ|The ovoid shape of the egg was perfect.|овальный|Овальная форма яйца была идеальной.
broach|NN|She wore a beautiful broach on her dress.|брошь|На ее платье была красивая брошь.
higher-resolution|JJ|We need a higher-resolution camera.|высокое разрешение|Нам нужна камера с высоким разрешением.
fed-up|JJ|She was fed-up with the noise.|сыт по горло|Ее сыт по горло шумом.
pathologize|VV0|They pathologize normal behavior sometimes.|патологизировать|Иногда они патологизируют нормальное поведение.
second-lowest|JJ|That’s the second-lowest price.|второй самый низкий|Это второй самый низкий цена.
get-tough|JJ|They implemented a get-tough policy.|жесткий|Они внедрили жесткую политику.
rebus|NN|The rebus was tricky to solve.|ребус|Ребус было сложно решить.
unattributed|JJ|The quote was unattributed.|без указания авторства|Цитата была без указания авторства.
effusively|RR|He thanked them effusively.|излишне|Он излишне поблагодарил их.
mocking|NN|His mocking was hurtful.|насмешка|Его насмешка была обидной.
moodily|RR|She stared moodily at the rain.|угрюмо|Она угрюмо смотрела на дождь.
thirty-first|MC|Her birthday is on the thirty-first.|тридцать первого|Ее день рождения тридцать первого числа.
belongingness|NN|Belongingness is important in groups.|принадлежность|Принадлежность важна в группах.
unclipped|JJ|The bushes were unclipped.|необрезанный|Кусты были необрезанными.
ranchland|NN|He inherited vast ranchland.|ранчо|Он унаследовал обширное ранчо.
interpolated|JJ|The data was interpolated carefully.|интерполированный|Данные были тщательно интерполированы.
self-administration|JJ|The drug is for self-administration.|самостоятельное применение|Препарат предназначен для самостоятельного применения.
wormlike|JJ|The creature had wormlike movements.|червеобразный|Существо двигалось червеобразно.
forthrightness|NN|Her forthrightness was appreciated.|откровенность|Ее откровенность была оценена.
brights|NN|He always uses his brights while driving.|дальний свет|Он всегда использует дальний свет при вождении.
post-race|JJ|They had a post-race celebration.|после гонки|У них было празднование после гонки.
refinancing|JJ|Refinancing options were discussed.|рефинансирование|Обсуждались варианты рефинансирования.
postulated|JJ|The postulated theory was accepted.|постулированный|Постулированная теория была принята.
off-the-books|JJ|He had an off-the-books income.|неофициальный|У него был неофициальный доход.
four-leaf|JJ|She found a four-leaf clover.|четырехлистный|Она нашла четырехлистный клевер.
fatalist|NN|He was known as a fatalist.|фаталист|Он был известен как фаталист.
self-deportation|NN|They discussed self-deportation strategies.|самодепортация|Они обсуждали стратегии самодепортации.
hard-right|JJ|He had a hard-right stance.|жестко правый|Он придерживался жестко правых взглядов.
kingfish|NN|They caught a huge kingfish.|макрель|Они поймали огромную макрель.
fold-up|JJ|He carried a fold-up chair.|складной|Он нёс складной стул.
unmanaged|JJ|The project was unmanaged.|неуправляемый|Проект был неуправляемым.
less-educated|JJ|The less-educated group struggled more.|менее образованный|Менее образованная группа испытывала больше трудностей.
artilleryman|NN|He served as an artilleryman.|артиллерист|Он служил артиллеристом.
anti-authoritarian|JJ|He has anti-authoritarian views.|антиавторитарный|У него антиавторитарные взгляды.
mmm-hm|UH|'Mmm-hm,' she nodded in agreement.|мм-хм|«Мм-хм», — кивнула она в знак согласия.
adverbial|JJ|He used an adverbial phrase.|адвербиальный|Он использовал адвербиальную фразу.
aircrew|NN|The aircrew prepared for landing.|экипаж|Экипаж самолета готовился к посадке.
moth-eaten|JJ|The moth-eaten sweater was old.|изъеденный молью|Свитер, изъеденный молью, был старым.
clintonian|JJ|The policy had a Clintonian influence.|клинтоновский|Политика имела клинтоновское влияние.
multivalent|JJ|The compound was multivalent.|мультивалентный|Соединение было мультивалентным.
liberal-leaning|JJ|The article had a liberal-leaning perspective.|либеральный|Статья имела либеральную направленность.
inebriation|NN|His inebriation was obvious.|опьянение|Его опьянение было очевидным.
ex-soldier|NN|The ex-soldier shared his story.|бывший солдат|Бывший солдат поделился своей историей.
jigger|NN|He measured the drink with a jigger.|джиггер|Он измерил напиток джиггером.
wholesomeness|NN|The wholesomeness of the meal was noted.|польза|Польза блюда была отмечена.
constructivist|JJ|She follows a constructivist approach.|конструктивистский|Она придерживается конструктивистского подхода.
fine-boned|JJ|She had fine-boned features.|тонкокостный|У неё были тонкокостные черты лица.
herbarium|NN|The herbarium contained rare plants.|гербарий|Гербарий содержал редкие растения.
bungling|JJ|His bungling efforts failed.|неловкий|Его неловкие попытки провалились.
centrum|NN|The centrum of the city was busy.|центр|Центр города был оживлённым.
chauffeured|JJ|She enjoyed the chauffeured ride.|с водителем|Ей понравилась поездка с водителем.
orthodontic|JJ|He wore orthodontic braces.|ортодонтический|Он носил ортодонтические брекеты.
oh-ho-ho|UH|Oh-ho-ho, that's funny!|ох-хо-хо|Ох-хо-хо, как смешно!
cytosol|NN|The cytosol surrounds the organelles.|цитозоль|Цитозоль окружает органеллы.
stepwise|RR|They proceeded stepwise through the process.|пошагово|Они пошагово прошли через процесс.
culture-specific|JJ|The ritual is culture-specific.|культурно-специфический|Этот ритуал является культурно-специфическим.
minimalistic|JJ|Her design was minimalistic.|минималистичный|Её дизайн был минималистичным.
taoist|NN|He studied Taoist philosophy.|даос|Он изучал даосскую философию.
insecticidal|JJ|They used an insecticidal spray.|инсектицидный|Они использовали инсектицидный спрей.
unmonitored|JJ|The site was left unmonitored.|без наблюдения|Место осталось без наблюдения.
sharpening|JJ|He bought a sharpening stone.|точильный|Он купил точильный камень.
icehouse|NN|They stored the fish in an icehouse.|ледник|Они хранили рыбу в леднике.
nato-led|JJ|It was a NATO-led operation.|под руководством НАТО|Это была операция под руководством НАТО.
monotonically|RR|The graph increased monotonically.|монотонно|График рос монотонно.
downsizing|JJ|They announced downsizing measures.|сокращение|Они объявили о мерах по сокращению.
axolotl|NN|The axolotl is a fascinating creature.|аксолотль|Аксолотль - это удивительное существо.
husk|VV|They husk the corn by hand.|обдирать|Они обдирают кукурузу вручную.
beneficially|RR|The changes impacted the company beneficially.|благоприятно|Изменения благоприятно повлияли на компанию.
duodenal|JJ|He had a duodenal ulcer.|дуоденальный|У него была дуоденальная язва.
under-served|JJ|The under-served area needed attention.|недообслуженный|Недообслуженная территория требовала внимания.
eighteen-wheeler|NN|An eighteen-wheeler blocked the road.|грузовик|Грузовик с восемнадцатью колёсами перекрыл дорогу.
geoscience|NN|She majored in geoscience.|геонаука|Она специализировалась на геонауках.
twinkly|JJ|She had a twinkly smile.|мерцающий|У неё была мерцающая улыбка.
mile-wide|JJ|The mile-wide tornado was terrifying.|мильной ширины|Торнадо мильной ширины был устрашающим.
proteomic|JJ|Proteomic studies are advancing.|протеомный|Протеомные исследования продвигаются.
stemware|NN|They bought new stemware.|бокалы|Они купили новые бокалы.
public-works|JJ|The public-works project was successful.|общественные работы|Проект общественных работ был успешным.
centering|JJ|They used a centering device.|центрирующий|Они использовали центрирующее устройство.
posthuman|JJ|The novel explored posthuman themes.|постчеловеческий|Роман исследовал постчеловеческие темы.
olivine|NN|Olivine is a common mineral.|оливин|Оливин - это распространённый минерал.
data-collection|JJ|The data-collection process was automated.|сбор данных|Процесс сбора данных был автоматизирован.
spring-like|JJ|The weather was spring-like.|весенний|Погода была весенней.
lysosome|NN|The lysosome breaks down waste.|лизосома|Лизосома расщепляет отходы.
grippy|JJ|These shoes have a grippy sole.|цепкий|У этих туфель цепкая подошва.
gouda|NN|She bought aged gouda cheese.|гауда|Она купила выдержанный сыр гауда.
ka-ching|NN|With each sale, he heard 'ka-ching.'|ка-чинь|С каждой продажей он слышал «ка-чинь».
upended|JJ|The plans were upended by the storm.|перевернутый|Планы были перевернуты штормом.
unfussy|JJ|Her style is simple and unfussy.|без излишеств|Её стиль прост и без излишеств.
eclampsia|NN|Eclampsia is a serious condition.|эклампсия|Эклампсия - это серьёзное состояние.
hyperkinetic|JJ|The child was hyperkinetic and active.|гиперкинетический|Ребёнок был гиперкинетическим и активным.
billfold|NN|He lost his billfold at the store.|бумажник|Он потерял бумажник в магазине.
sky-car|NN|They tested the new sky-car prototype.|воздушный автомобиль|Они протестировали новый прототип воздушного автомобиля.
adenoid|JJ|He had adenoid issues as a child.|аденоидный|У него были проблемы с аденоидами в детстве.
resource-based|JJ|They adopted a resource-based approach.|ресурсно-ориентированный|Они приняли ресурсно-ориентированный подход.
ecologic|JJ|The ecologic impact was significant.|экологический|Экологическое воздействие было значительным.
exiting|JJ|He took the exiting train.|уходящий|Он сел на уходящий поезд.
waitlist|NN|She was placed on the waitlist.|список ожидания|Она была включена в список ожидания.
recapitalization|NN|The company announced its recapitalization.|рекапитализация|Компания объявила о своей рекапитализации.
interpenetration|NN|The interpenetration of ideas was evident.|взаимопроникновение|Взаимопроникновение идей было очевидным.
half-game|NN|They played a half-game for practice.|половина игры|Они сыграли половину игры для тренировки.
gray-white|JJ|The sky was a gray-white color.|серо-белый|Небо было серо-белого цвета.
comitatus|NN|The comitatus tradition was strong.|комитат|Традиция комитата была сильна.
high-elevation|JJ|The high-elevation hike was challenging.|высокогорный|Высокогорный поход был сложным.
platonism|NN|He studied Platonism in college.|платонизм|Он изучал платонизм в колледже.
nonviolently|RR|They protested nonviolently.|ненасильственно|Они протестовали ненасильственно.
papilloma|NN|The doctor removed a papilloma.|папиллома|Врач удалил папиллому.
diadromous|JJ|The diadromous fish migrate.|диадромный|Диадромные рыбы мигрируют.
ornithological|JJ|They joined an ornithological society.|орнитологический|Они присоединились к орнитологическому обществу.
quits|JJ|He was quits with the situation.|в расчёте|Он был в расчёте с ситуацией.
meatpacking|NN|He worked in the meatpacking industry.|мясопереработка|Он работал в мясоперерабатывающей промышленности.
credited|JJ|She was credited for the idea.|приписано|Ей приписали эту идею.
self-referencing|JJ|The essay was self-referencing.|самоцитирующий|Эссе самоцитировалось.
groundling|NN|The groundling watched the play eagerly.|зритель|Зритель внимательно наблюдал за спектаклем.
swordplay|NN|The movie featured intense swordplay.|фехтование|В фильме были показаны интенсивные сцены фехтования.
transiently|RR|He stayed transiently in the city.|временно|Он временно оставался в городе.
espadrille|NN|She wore a colorful espadrille.|эспадрилья|Она носила яркие эспадрильи.
wastepaper|NN|The wastepaper basket was full.|макулатура|Корзина для макулатуры была полной.
sonically|RR|The music was sonically rich.|звуково|Музыка была звуково насыщенной.
balled-up|JJ|He found a balled-up piece of paper.|сжатый|Он нашел сжатый лист бумаги.
reword|VV|She decided to reword the sentence.|переформулировать|Она решила переформулировать предложение.
asymmetrically|RR|The design was asymmetrically balanced.|асимметрично|Дизайн был асимметрично сбалансирован.
slavonic|JJ|He studied Slavonic languages.|славянский|Он изучал славянские языки.
average-size|JJ|They bought an average-size car.|среднего размера|Они купили автомобиль среднего размера.
ileum|NN|The ileum is part of the small intestine.|подвздошная кишка|Подвздошная кишка является частью тонкой кишки.
short-circuiting|NN|The short-circuiting caused a fire.|короткое замыкание|Короткое замыкание вызвало пожар.
unlettered|JJ|The unlettered sign was unreadable.|неразборчивый|Неразборчивый знак был нечитаемым.
supersensitive|JJ|He is supersensitive to criticism.|сверхчувствительный|Он сверхчувствителен к критике.
tentpole|NN|The tentpole held up the canvas.|столбик для палатки|Столбик для палатки держал полотно.
sculpin|NN|They caught a sculpin during fishing.|бычок|Они поймали бычка во время рыбалки.
pedicure|VV|She will pedicure her nails tomorrow.|делать педикюр|Она сделает педикюр завтра.
metalsmith|NN|The metalsmith crafted the jewelry.|ювелир|Ювелир создал украшения.
playmaking|JJ|His playmaking skills are impressive.|игротворческий|Его игротворческие навыки впечатляют.
non-professional|NN|The job was done by a non-professional.|неспециалист|Работа была выполнена неспециалистом.
catbird|NN|The catbird sang a sweet tune.|дрозд|Дрозд пел сладкую мелодию.
out-of-network|JJ|She visited an out-of-network doctor.|вне сети|Она посетила врача вне сети.
post-conviction|JJ|He filed a post-conviction appeal.|после приговора|Он подал апелляцию после приговора.
feed-in|NN|They adjusted the feed-in rate.|ввод|Они отрегулировали скорость ввода.
perseveration|NN|He struggled with perseveration.|настойчивость|Ему было трудно справляться с настойчивостью.
trollop|NN|The novel featured a trollop character.|развратница|В романе была развратница.
ivory-billed|JJ|The ivory-billed woodpecker was rare.|с белым клювом|Дятел с белым клювом был редкостью.
supercluster|NN|Astronomers studied the supercluster.|сверхскопление|Астрономы изучали сверхскопление.
imprinting|NN|Imprinting occurs at birth.|импринтинг|Импринтинг происходит при рождении.
galleria|NN|They shopped at the galleria.|галерея|Они делали покупки в галерее.
antigay|JJ|The legislation was antigay.|антигейский|Законодательство было антигейским.
biostatistics|NN|She specializes in biostatistics.|биостатистика|Она специализируется на биостатистике.
skydiving|JJ|Skydiving is an extreme sport.|прыжки с парашютом|Прыжки с парашютом - это экстремальный вид спорта.
audaciously|RR|He audaciously challenged the rules.|дерзко|Он дерзко бросил вызов правилам.
anti-spam|JJ|They installed anti-spam software.|антиспам|Они установили антиспам-программу.
basaltic|JJ|The basaltic rocks were studied.|базальтовый|Базальтовые породы были изучены.
smarty-pants|NN|He was known as a smarty-pants.|умник|Его знали как умника.
urological|JJ|He had a urological check-up.|урологический|У него был урологический осмотр.
foot-high|JJ|The snow was a foot-high.|футовый|Снег был футовой высоты.
insightfully|RR|She insightfully analyzed the problem.|проницательно|Она проницательно проанализировала проблему.
glossy|NN|The magazine had a glossy cover.|глянец|У журнала была глянцевая обложка.
loud-mouthed|JJ|He was loud-mouthed at the meeting.|крикливый|На встрече он был крикливым.
misclassify|VV|Do not misclassify the documents.|неправильно классифицировать|Не классифицируйте документы неправильно.
finishing|NN|They added the final finishing touches.|отделка|Они добавили последние штрихи в отделке.
valvular|JJ|He had valvular heart disease.|клапанный|У него была клапанная болезнь сердца.
queen-sized|JJ|They bought a queen-sized bed.|большой размер|Они купили кровать большого размера.
nougat|NN|The candy bar had nougat inside.|нуга|В батончике была нуга.
dismissed|JJ|The idea was dismissed quickly.|отклоненный|Идея была быстро отклонена.
parenchyma|NN|The lung parenchyma was examined.|паренхима|Паренхима лёгких была исследована.
carcinogenicity|NN|The study focused on carcinogenicity.|канцерогенность|Исследование было сосредоточено на канцерогенности.
one-car|JJ|They lived in a one-car household.|с одним автомобилем|Они жили в доме с одним автомобилем.
heat-resistant|JJ|They used heat-resistant materials.|жаропрочный|Они использовали жаропрочные материалы.
crouching|JJ|He saw a crouching figure in the dark.|присевший|Он увидел присевшую фигуру в темноте.
peroxidase|NN|Peroxidase is an important enzyme.|пероксидаза|Пероксидаза - важный фермент.
hitching|JJ|They used a hitching post for the horses.|привязочный|Они использовали привязочный столб для лошадей.
gladiolus|NN|She planted gladiolus in her garden.|гладиолус|Она посадила гладиолусы в своём саду.
substantiated|JJ|The claims were substantiated by evidence.|обоснованный|Требования были обоснованы доказательствами.
indwelling|JJ|He had an indwelling catheter.|внутренний|У него был внутренний катетер.
eight-ball|NN|They played with an eight-ball.|восьмёрка|Они играли в пул с восьмёркой.
three-tenths|MC|Three-tenths of the project was done.|три десятых|Три десятых проекта были завершены.
collier|NN|The collier transported coal daily.|угольщик|Угольщик ежедневно перевозил уголь.
backsliding|NN|He feared backsliding into old habits.|рецидив|Он боялся рецидива в старые привычки.
aardvark|NN|The aardvark is a nocturnal animal.|трубкозуб|Трубкозуб - ночное животное.
maoism|NN|Maoism influenced the revolution.|маоизм|Маоизм повлиял на революцию.
comb-over|NN|His comb-over was noticeable.|пробор|Его причёска с пробором была заметной.
tickler|NN|The tickler file kept him organized.|напоминание|Файл с напоминаниями помогал ему быть организованным.
earwig|NN|She found an earwig in the garden.|уховёртка|Она нашла уховёртку в саду.
shortlist|VV|They will shortlist the candidates.|включать в короткий список|Они включат кандидатов в короткий список.
laughing|NN|The sound of laughing filled the room.|смех|Звук смеха заполнил комнату.
reappraise|VV|They need to reappraise the property.|переоценить|Им нужно переоценить собственность.
interactionism|NN|Interactionism is a sociological theory.|интеракционизм|Интеракционизм - это социологическая теория.
gonadal|JJ|The gonadal development was normal.|гонадный|Гонадное развитие было нормальным.
hosel|NN|The hosel of the club was damaged.|держатель|Держатель клюшки был поврежден.
gussie|VV|She will gussie up for the party.|нарядиться|Она нарядится на вечеринку.
