|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
4298|verb|einschließen|einschließen, schließt ein, schloss ein, hat eingeschlossen|Er schloss sie in den Plan ein.|to lock up, involve, include|to include|He included her in the plan.
4299|der|der Faden|die Fäden|Der Faden reißt mitten im Nähen.|thread|thread|The thread snaps in the middle of sewing.
4300|num|hunderttausend||Hunderttausend Menschen kamen.|hundred thousand|hundred thousand|A hundred thousand people came.
4301|der|der Oberschenkel|die Oberschenkel|Er verletzte sich am Oberschenkel.|thigh|thigh|He injured his thigh.
4302|die|die Schlacht|die Schlachten|Die Schlacht tobte bis zum Morgen.|battle|battle|The battle raged until morning.
4303|adj|sinnlos||Die Diskussion war völlig sinnlos.|meaningless|meaningless|The discussion was completely meaningless.
4304|verb|streben|streben, strebt, strebte, hat gestrebt|Er strebt immer nach Perfektion.|to strive|to strive|He always strives for perfection.
4305|der|der Algorithmus|die Algorithmusen|Der Algorithmus ist ziemlich effizient.|algorithm|algorithm|The algorithm is quite efficient.
4306|verb|beleuchten|beleuchten, beleuchtet, beleuchtete, hat beleuchtet|Das Licht beleuchtet den Raum.|to light, illuminate, examine|to illuminate|The light illuminates the room.
4307|verb|drucken|drucken, druckt, druckte, hat gedruckt|Er druckte das Dokument sofort aus.|to print|to print|He printed the document immediately.
4308|adj|erreichbar||Der Gipfel war kaum erreichbar.|within reach, reachable|within reach|The summit was barely within reach.
4309|verb|erschweren|erschweren, erschwert, erschwerte, hat erschwert|Der Regen erschwert die Fahrt.|to complicate, make more difficult|to complicate|The rain complicates the drive.
4310|die|die Fahne|die Fahnen|Die Fahne wehte im Wind stark.|flag|flag|The flag waved strongly in the wind.
4311|die|die Panik|die Paniken|Die Panik brach plötzlich aus.|panic|panic|Panic suddenly broke out.
4312|adj|populär||Der populäre Sänger hatte viele Fans.|popular|popular|The popular singer had many fans.
4313|die|die Rotation|die Rotationen|Die Rotation der Erde ist konstant.|rotation|rotation|The rotation of the Earth is constant.
4314|verb|unterschätzen|unterschätzen, unterschätzt, unterschätzte, hat unterschätzt|Unterschätze niemals deinen Gegner.|to underestimate|to underestimate|Never underestimate your opponent.
4315|die|die Vereinigung|die Vereinigungen|Die Vereinigung feiert Jubiläum.|organization, association, unification|association|The association celebrates its anniversary.
4316|der|der Anleger|die Anleger|Der Anleger investierte sein Geld klug.|investor|investor|The investor wisely invested his money.
4317|der|der Darm|die Därme|Der Darm verarbeitet die Nahrung.|intestine|intestine|The intestine processes the food.
4318|verb|erobern|erobern, erobert, eroberte, hat erobert|Sie erobern das Schloss im Sturm.|to conquer, take, win|to conquer|They conquer the castle in a storm.
4319|die|die Fassade|die Fassaden|Die Fassade wurde neu gestrichen.|facade, front|facade|The facade was freshly painted.
4320|der|der Favorit|die Favoriten|Der Favorit gewann das Rennen.|favorite|favorite|The favorite won the race.
4321|das|das Plakat|die Plakate|Das Plakat informiert über das Event.|poster|poster|The poster informs about the event.
4322|die|die Terrasse|die Terrassen|Sie sitzen gern auf der Terrasse.|terrace, patio|terrace|They like sitting on the terrace.
4323|verb|aufsuchen|aufsuchen, sucht auf, suchte auf, hat aufgesucht|Er suchte den Arzt auf wegen Schmerzen.|to see, visit|to visit|He visited the doctor due to pain.
4324|verb|forschen|forschen, forscht, forschte, hat geforscht|Er forscht an einem neuen Medikament.|to research, do research|to research|He is researching a new medication.
4325|der|der Gesetzentwurf|die Gesetzentwürfe|Der Gesetzentwurf wurde abgelehnt.|bill, draft law|bill|The bill was rejected.
4326|adj|intellektuell||Ein intellektueller Austausch ist nötig.|intellectual|intellectual|An intellectual exchange is necessary.
4327|adj|legendär||Die legendäre Band tritt wieder auf.|legendary|legendary|The legendary band is performing again.
4328|die|die Lektüre|die Lektüren|Die Lektüre fesselt den Leser.|reading|reading|The reading captivates the reader.
4329|adj|motorisch||Seine motorischen Fähigkeiten sind gut.|motor|motor|His motor skills are good.
4330|adv|nunmehr||Es ist nunmehr offiziell bestätigt.|now|now|It is now officially confirmed.
4331|die|die Richtlinie|die Richtlinien|Die Richtlinie wurde verabschiedet.|guideline|guideline|The guideline was adopted.
4332|der|der Trick|die Tricks|Der Trick ist einfacher als gedacht.|trick|trick|The trick is easier than expected.
4333|der|der Tropfen|die Tropfen|Ein Tropfen Wasser fiel zu Boden.|drop|drop|A drop of water fell to the ground.
4334|verb|abschaffen|abschaffen, schafft ab, schaffte ab, hat abgeschafft|Er schaffte das alte System ab.|to abolish|to abolish|He abolished the old system.
4335|verb|anheben|anheben, hebt an, hob an, hat angehoben|Er hebt die Kiste vorsichtig an.|to raise|to raise|He carefully raises the box.
4336|verb|bewundern|bewundern, bewundert, bewunderte, hat bewundert|Er bewunderte die Aussicht vom Berg.|to admire|to admire|He admired the view from the mountain.
4337|die|die Burg|die Burgen|Die alte Burg thront über dem Tal.|castle|castle|The old castle towers over the valley.
4338|der|der Engel|die Engel|Der Engel erschien ihm im Traum.|angel|angel|The angel appeared to him in a dream.
4339|das|das Fazit|die Fazits|Das Fazit fasst alles zusammen.|summary, conclusion|conclusion|The conclusion sums everything up.
4340|verb|hervorrufen|hervorrufen, ruft hervor, rief hervor, hat hervorgerufen|Das Bild ruft Emotionen hervor.|to evoke, arouse, cause|to evoke|The picture evokes emotions.
4341|das|Irland||Irland ist berühmt für seine Landschaft.|Ireland|Ireland|Ireland is famous for its landscape.
4342|die|die Mechanik|die Mechaniken|Die Mechanik funktionierte reibungslos.|mechanics|mechanics|The mechanics worked smoothly.
4343|der|der Psychologe|die Psychologen|Der Psychologe führte ein Gespräch.|psychologist|psychologist|The psychologist conducted a conversation.
4344|verb|abspielen|abspielen, spielt ab, spielte ab, hat abgespielt|Er spielt das Lied nochmal ab.|to play|to play|He plays the song again.
4345|die|die Erhebung|die Erhebungen|Die Erhebung ist abgeschlossen.|survey, elicitation, levying|survey|The survey is complete.
4346|verb|herausragen|herausragen, ragt heraus, ragte heraus, hat herausgeragt|Der Turm ragt über alle Häuser hinaus.|to stand out|to stand out|The tower stands out above all the houses.
4347|verb|inszenieren|inszenieren, inszeniert, inszenierte, hat inszeniert|Der Regisseur inszenierte das Stück neu.|to stage|to stage|The director staged the play anew.
4348|verb|klatschen|klatschen, klatscht, klatschte, hat geklatscht|Er klatscht laut in die Hände.|to clap|to clap|He claps his hands loudly.
4349|das|das Magazin|die Magazine|Das Magazin erschien monatlich.|magazine, storehouse|magazine|The magazine was published monthly.
4350|der|der Zuhörer|die Zuhörer|Der Zuhörer stellte viele Fragen.|listener, audience (pl)|listener|The listener asked many questions.
4351|verb|beschweren|beschweren, beschwert, beschwerte, hat beschwert|Er beschwert sich über den Lärm.|to weight, complain|to complain|He complains about the noise.
4352|verb|entgegenkommen|entgegenkommen, kommt entgegen, kam entgegen, ist entgegengekommen|Er kommt dem Vorschlag entgegen.|to meet, accommodate|to accommodate|He accommodates the suggestion.
4353|die|die Hast||In der Hast vergaß er seine Schlüssel.|haste|haste|In his haste, he forgot his keys.
4354|adv|hinauf||Er stieg schnell die Treppe hinauf.|up, upwards|up|He quickly climbed up the stairs.
4355|verb|hindern|hindern, hindert, hinderte, hat gehindert|Der Sturm hinderte uns am Segeln.|to prevent|to prevent|The storm prevented us from sailing.
4356|verb|loswerden|loswerden, wird los, wurde los, ist losgeworden|Er wollte den alten Kram loswerden.|to get rid of|to get rid of|He wanted to get rid of the old stuff.
4357|adj|mild||Der milde Wind streifte mein Gesicht.|mild, gentle|mild|The mild wind brushed my face.
4358|die|die Minderheit|die Minderheiten|Die Minderheit fordert gleiche Rechte.|minority|minority|The minority demands equal rights.
4359|die|die Prävention|die Präventionen|Prävention ist besser als Heilung.|prevention|prevention|Prevention is better than cure.
4360|verb|schrumpfen|schrumpfen, schrumpft, schrumpfte, ist geschrumpft|Die Bevölkerung schrumpft rapide.|to shrink|to shrink|The population is shrinking rapidly.
4361|verb|vernehmen|vernehmen, vernimmt, vernahm, hat vernommen|Sie vernahmen den Verdächtigen.|to hear, examine, question|to question|They questioned the suspect.
4362|verb|erstrecken (sich)|erstrecken (sich), erstreckt, erstreckte, hat erstreckt|Das Projekt erstreckt sich über Jahre.|to extend, include|to extend|The project extends over years.
4363|der|der Genosse|die Genossen|Der Genosse steht treu zur Partei.|comrade|comrade|The comrade stands loyal to the party.
4364|interj|öh||Öh, das weiß ich jetzt nicht genau.|uh|uh|Uh, I don't know that exactly right now.
4365|adj|Thüringer||Die Thüringer Küche ist berühmt.|Thuringian|Thuringian|Thuringian cuisine is famous.
4366|verb|vortragen|vortragen, trägt vor, trug vor, hat vorgetragen|Er hat den Bericht uns vorgetragen.|to present, perform|to present|He presented the report to us.
4367|das|das Hirn|die Hirne|Das Hirn steuert alle Funktionen.|brain|brain|The brain controls all functions.
4368|der|der Pfeil|die Pfeile|Der Pfeil traf genau ins Ziel.|arrow|arrow|The arrow hit the target precisely.
4369|der|der Schuldner|die Schuldner|Der Schuldner konnte nicht zahlen.|debtor|debtor|The debtor could not pay.
4370|die|die Überprüfung|die Überprüfungen|Die Überprüfung der Daten dauerte lange.|review, screening, check, inspection|review|The data review took a long time.
4371|die|die Verzweiflung|die Verzweiflungen|Die Verzweiflung war ihm anzusehen.|desperation|desperation|Desperation was visible on his face.
4372|adj|vorig||Im vorigen Jahr war es anders.|previous|previous|It was different in the previous year.
4373|die|die Anweisung|die Anweisungen|Die Anweisung war präzise formuliert.|order, instruction|instruction|The instruction was precisely formulated.
4374|das|das Bargeld||Er bevorzugt Bargeld statt Karte.|cash|cash|He prefers cash over a card.
4375|adj|belgisch||Er probierte belgische Schokolade.|Belgian|Belgian|He tried Belgian chocolate.
4376|verb|erkundigen (sich)|erkundigen (sich), erkundigt, erkundigte, hat erkundigt|Er erkundigte sich nach dem Weg.|to inquire|to inquire|He inquired about the way.
4377|das|das Format|die Formate|Das Format des Buches ist ungewöhnlich.|format|format|The format of the book is unusual.
4378|die|die Gasse|die Gassen|Die Gasse führte zur alten Kirche.|alley|alley|The alley led to the old church.
4379|der|der Gesichtspunkt|die Gesichtspunkte|Der Gesichtspunkt war gut gewählt.|point of view|point of view|The point of view was well chosen.
4380|adj|glänzend||Der glänzende Pokal stand auf dem Tisch.|shiny, shining, brilliant|shiny|The shiny trophy stood on the table.
4381|das|das Original|die Originale|Das Original bleibt unberührt.|original|original|The original remains untouched.
4382|die|die ÖVP (Österreichische Volkspartei)||Die ÖVP gewinnt die Wahl in Österreich.|ÖVP|ÖVP|The ÖVP wins the election in Austria.
4383|die|die Priorität|die Prioritäten|Die Priorität lag auf Sicherheit.|priority|priority|The priority was on safety.
4384|der|der Stich|die Stiche|Der Stich schmerzt noch immer.|bite, sting|sting|The sting still hurts.
4385|die|die Variation|die Variationen|Die Variation des Rezepts war gelungen.|kind, variation|variation|The variation of the recipe was successful.
4386|der|der Wettkampf|die Wettkämpfe|Der Wettkampf war hart, aber fair.|competition|competition|The competition was tough but fair.
4387|der|die Fremde||Der Fremde fragt nach dem Weg.|stranger|stranger|The stranger asks for directions.
4388|verb|haften|haften, haftet, haftete, hat gehaftet|Du wirst für alle Kosten haften.|to adhere, be liable|to be liable|You will be liable for all costs.
4389|adj|horizontal||Die horizontale Linie teilte das Bild.|horizontal|horizontal|The horizontal line divided the picture.
4390|verb|irren (sich)|irren (sich), irrt, irrte, hat geirrt|Irren ist menschlich, sagt man.|to err, be wrong|to err|To err is human, they say.
4391|adj|kriminell||Seine kriminellen Taten wurden enthüllt.|criminal|criminal|His criminal actions were revealed.
4392|verb|verfallen|verfallen, verfällt, verfiel, ist verfallen|Das alte Gebäude verfällt schnell.|to decay, deteriorate, expire|to decay|The old building is decaying fast.
4393|adj|vorzeitig||Vorzeitiger Start gab mehr Spielraum.|early, premature|early|An early start allowed more leeway.
4394|verb|ansiedeln|ansiedeln, siedelt an, siedelte an, hat angesiedelt|Die Firma siedelt sich hier an.|to settle, establish|to settle|The company is settling here.
4395|der|der Bewerber|die Bewerber|Der Bewerber überzeugte im Gespräch.|applicant|applicant|The applicant convinced in the interview.
4396|die|die Breite|die Breiten|Die Breite des Flusses ist beachtlich.|width|width|The width of the river is considerable.
4397|verb|einsehen|einsehen, sieht ein, sah ein, hat eingesehen|Er sieht endlich seinen Fehler ein.|to see, realize, look into|to realize|He finally realizes his mistake.
4398|die|die Epoche|die Epochen|Die Epoche der Renaissance war prägend.|epoch|epoch|The Renaissance epoch was influential.
4399|die|die Explosion|die Explosionen|Die Explosion war ohrenbetäubend.|explosion|explosion|The explosion was deafening.
4400|der|der Idiot|die Idioten|Der Idiot hat alles kaputt gemacht.|idiot|idiot|The idiot messed everything up.
4401|die|die Kulisse|die Kulissen|Die Berge bilden eine schöne Kulisse.|setting, scenery, backdrop|backdrop|The mountains form a beautiful backdrop.
4402|die|die Lieferung|die Lieferungen|Die Lieferung kam verspätet an.|delivery|delivery|The delivery arrived late.
4403|adj|nachvollziehbar||Die Erklärung war gut nachvollziehbar.|plausible, transparent|plausible|The explanation was very plausible.
4404|adj|spürbar||Die Kälte war spürbar im Raum.|noticeable, perceptible|noticeable|The cold was noticeable in the room.
4405|der|der Stall|die Ställe|Der Stall wurde frisch ausgemistet.|stable|stable|The stable was freshly mucked out.
4406|die|die Arbeitskraft|die Arbeitskräfte|Die Arbeitskraft wurde gut bezahlt.|manpower, worker|worker|The worker was well paid.
4407|die|die Bibel|die Bibeln|Die Bibel liegt auf dem Tisch.|Bible|Bible|The Bible is on the table.
4408|die|die Gemeinsamkeit|die Gemeinsamkeiten|Die Gemeinsamkeiten sind offensichtlich.|commonality, common feature|common feature|The common features are obvious.
4409|das|das Gemisch|die Gemische|Das Gemisch wurde vorsichtig erhitzt.|mixture|mixture|The mixture was heated carefully.
4410|adj|schlank||Er bleibt schlank durch viel Bewegung.|slim|slim|He stays slim with a lot of exercise.
4411|der|der Dreck||Der Dreck muss weggefegt werden.|dirt|dirt|The dirt needs to be swept away.
4412|verb|eilen|eilen, eilt, eilte, hat geeilt|Er eilt zur Arbeit, er ist spät dran.|to hurry|to hurry|He hurries to work, he is running late.
4413|verb|fügen (sich)|fügen (sich), fügt, fügte, hat gefügt|Er hat sich den Regeln gefügt.|to comply, defer to, resign oneself to|to comply|He complied with the rules.
4414|adv|heuer||Heuer fällt das Fest auf einen Sonntag.|this year|this year|This year, the festival falls on a Sunday.
4415|die|die Hölle|die Höllen|Der Lärm war die reinste Hölle.|hell|hell|The noise was pure hell.
4416|adj|quadratisch||Der Tisch hat eine quadratische Form.|square|square|The table has a square shape.
4417|die|die Reflexion|die Reflexionen|Die Reflexion im Wasser war klar.|reflection|reflection|The reflection in the water was clear.
4418|adj|solide||Das solide Fundament sicherte das Haus.|solid, sound|solid|The solid foundation secured the house.
4419|adj|unauffällig||Er blieb unauffällig im Hintergrund.|inconspicuous|inconspicuous|He stayed inconspicuous in the background.
4420|der|der Zwerg|die Zwerge|Der Zwerg versteckt sich im Wald.|dwarf|dwarf|The dwarf hides in the forest.
4421|die|die Anmerkung|die Anmerkungen|Die Anmerkung brachte neue Erkenntnisse.|note, comment|note|The note brought new insights.
4422|der|der Anreiz|die Anreize|Der Anreiz zur Teilnahme war hoch.|incentive|incentive|The incentive to participate was high.
4423|die|die Ausrichtung|die Ausrichtungen|Die Ausrichtung des Events war perfekt.|orientation, alignment|alignment|The alignment of the event was perfect.
4424|verb|auswerten|auswerten, wertet aus, wertete aus, hat ausgewertet|Er wertete die Daten gründlich aus.|to evaluate, assess|to evaluate|He thoroughly evaluated the data.
4425|verb|ersparen|ersparen, erspart, ersparte, hat erspart|Er wollte ihr den Schmerz ersparen.|to save, spare|spare|He wanted to spare her the pain.
4426|adj|homogen||Eine homogene Gruppe arbeitete besser.|homogeneous|homogeneous|A homogeneous group worked better.
4427|verb|nachkommen|nachkommen, kommt nach, kam nach, ist nachgekommen|Er kam der Aufforderung sofort nach.|to follow, come later, come after|to follow|He immediately followed the request.
4428|der|der Diabetes||Diabetes erfordert viel Disziplin.|diabetes|diabetes|Diabetes requires a lot of discipline.
4429|die|die Fotografie|die Fotografien|Fotografie ist meine Leidenschaft.|photography|photography|Photography is my passion.
4430|die|die Galerie|die Galerien|Die Galerie zeigt moderne Kunst.|gallery|gallery|The gallery showcases modern art.
4431|die|die Haft||Er wurde aus der Haft entlassen.|detention, confinement|detention|He was released from detention.
4432|die|die Malerei|die Malereien|Die Malerei im Museum ist atemberaubend.|painting|painting|The painting in the museum is breathtaking.
4433|die|die Marktwirtschaft|die Marktwirtschaften|Die Marktwirtschaft prägt das Land.|market economy|market economy|The market economy shapes the country.
4434|die|die Maske|die Masken|Die Maske verdeckte sein Gesicht.|mask|mask|The mask covered his face.
4435|interj|mmh||Mmh, das schmeckt richtig gut!|mmh|mmh|Mmh, that tastes really good!
4436|die|die Präsentation|die Präsentationen|Die Präsentation verlief reibungslos.|presentation|presentation|The presentation went smoothly.
4437|adj|unerträglich||Die unerträgliche Hitze raubte den Atem.|unbearable, intolerable|unbearable|The unbearable heat took our breath away.
4438|verb|zerreißen|zerreißen, zerreißt, zerriss, hat zerrissen|Sie hat den Brief vor Wut zerrissen.|to tear (up, to pieces)|to tear to pieces|She tore the letter to pieces in anger.
4439|adj|zwangsläufig||Die Entscheidung war zwangsläufig.|inevitable|inevitable|The decision was inevitable.
4440|verb|betrinken (sich)|betrinken (sich), betrinkt, betrank, hat betrunken|Er hat sich gestern betrunken.|to get drunk|to get drunk|He got drunk yesterday.
4441|die|die Furcht||Die Furcht vor dem Unbekannten ist groß.|fear|fear|The fear of the unknown is great.
4442|das|das Klavier|die Klaviere|Das Klavier steht im Wohnzimmer.|piano|piano|The piano is in the living room.
4443|adj|kommunal||Kommunale Wahlen stehen bevor.|municipal|municipal|Municipal elections are upcoming.
4444|der|der Landkreis|die Landkreise|Der Landkreis investiert in Bildung.|district|district|The district invests in education.
4445|die|die Meisterschaft|die Meisterschaften|Die Meisterschaft wurde hart umkämpft.|championship|championship|The championship was fiercely contested.
4446|der|der Neubau|die Neubauten|Der Neubau beginnt im nächsten Jahr.|new building|new building|The new building starts next year.
4447|verb|schädigen|schädigen, schädigt, schädigte, hat geschädigt|Das Rauchen schädigt die Lunge.|to damage|to damage|Smoking damages the lungs.
4448|die|die Schau|die Schauen|Die Schau zog viele Besucher an.|show|show|The show attracted many visitors.
4449|verb|unterstreichen|unterstreichen, unterstreicht, unterstrich, hat unterstrichen|Er unterstreicht die wichtige Passage.|to underline, emphasize|emphasize|He emphasizes the important passage.
4450|verb|vorziehen|vorziehen, zieht vor, zog vor, hat vorgezogen|Sie zieht es vor, allein zu reisen.|to prefer|to prefer|She prefers to travel alone.
4451|die|die Bande|die Banden|Die Bande plante den Überfall.|gang, mob, clique|gang|The gang planned the robbery.
4452|adj|behindert||Er hilft seinem behinderten Bruder.|handicapped|handicapped|He helps his handicapped brother.
4453|die|die Bemühung|die Bemühungen|Ihre Bemühungen wurden belohnt.|effort|effort|Her efforts were rewarded.
4454|die|die Besetzung|die Besetzungen|Die Besetzung wechselt häufig.|occupation, cast, line-up|cast|The cast changes frequently.
4455|das|das Bündel|die Bündel|Das Bündel war schwer zu tragen.|bundle, bunch|bundle|The bundle was hard to carry.
4456|verb|dämpfen|dämpfen, dämpft, dämpfte, hat gedämpft|Er dämpfte die Erwartungen vorsichtig.|to dampen, dim|to dampen|He cautiously dampened expectations.
4457|die|die FPÖ (Freiheitliche Partei Österreichs)||Die FPÖ hat ihren Kandidaten gewählt.|FPÖ|FPÖ|The FPÖ has chosen its candidate.
4458|das|das Gift|die Gifte|Das Gift wurde im Wasser gefunden.|poison|poison|The poison was found in the water.
4459|der|der Knopf|die Knöpfe|Der Knopf fällt von der Jacke.|button|button|The button falls off the jacket.
4460|das|das Lebensjahr|die Lebensjahre|Er hat das 30. Lebensjahr erreicht.|year (of one’s life)|year (of one’s life)|He has reached his 30th year.
4461|die|die News||Die News verbreiten sich schnell.|news|news|The news spreads quickly.
4462|das|das Profil|die Profile|Das Profil zeigt klare Kanten.|profile|profile|The profile shows clear edges.
4463|die|die Siedlung|die Siedlungen|Die Siedlung liegt am Stadtrand.|settlement, estate|settlement|The settlement is on the outskirts of town.
4464|adj|signifikant||Die Unterschiede sind signifikant.|significant|significant|The differences are significant.
4465|die|die Stellungnahme|die Stellungnahmen|Die Stellungnahme klärte viele Fragen.|opinion, statement|statement|The statement clarified many questions.
4466|der|der Sturz|die Stürze|Der Sturz vom Fahrrad war schmerzhaft.|fall|fall|The fall from the bike was painful.
4467|adj|unbewusst||Er war sich unbewusst der Gefahr.|unconscious|unconscious|He was unconscious of the danger.
4468|der|der Verstoß|die Verstöße|Der Verstoß blieb nicht unbemerkt.|violation|violation|The violation did not go unnoticed.
4469|adj|voraussichtlich||Das voraussichtliche Ergebnis ist klar.|probable, presumable|probable|The probable outcome is clear.
4470|verb|würdigen|würdigen, würdigt, würdigte, hat gewürdigt|Er würdigt ihre Leistung im Projekt.|to appreciate, pay tribute|to appreciate|He appreciates her performance in the project.
4471|verb|zurückweisen|zurückweisen, weist zurück, wies zurück, hat zurückgewiesen|Der Antrag wurde zurückgewiesen.|to reject|to reject|The application was rejected.
4472|der|der Abfall|die Abfälle|Der Abfall wurde in die Tonne geworfen.|waste, trash|waste|The waste was thrown into the bin.
4473|der|der Demokrat|die Demokraten|Der Demokrat verteidigt seine Werte.|democrat|democrat|The democrat defends his values.
4474|der|der Katalysator|die Katalysatoren|Der Katalysator reduziert Emissionen.|catalyst|catalyst|The catalyst reduces emissions.
4475|die|die Piste|die Pisten|Die Piste ist heute besonders vereist.|slope|slope|The slope is especially icy today.
4476|der|der Senat|die Senate|Der Senat berät über das neue Gesetz.|senate|senate|The senate deliberates on the new law.
4477|die|die Stasi (Staatssicherheitsdienst)||Die Stasi war in der DDR aktiv.|state security service|state security service|The Stasi was active in East Germany.
4478|verb|streicheln|streicheln, streichelt, streichelte, hat gestreichelt|Sie streichelte die Katze sanft.|to pet|to pet|She gently petted the cat.
4479|adj|überlegen||Er ist ihm überlegen im Schach.|superior|superior|He is superior to him in chess.
4480|verb|ausfüllen|ausfüllen, füllt aus, füllte aus, hat ausgefüllt|Er füllte das Formular korrekt aus.|to fill out|to fill out|He filled out the form correctly.
4481|die|die Betreuung|die Betreuungen|Die Betreuung der Kinder ist gesichert.|care|care|The care of the children is secured.
4482|verb|eintreffen|eintreffen, trifft ein, traf ein, ist eingetroffen|Die Gäste treffen gegen Abend ein.|to arrive, come true, happen|to arrive|The guests will arrive around evening.
4483|der|der Kuchen|die Kuchen|Der Kuchen schmeckte wunderbar süß.|cake|cake|The cake tasted wonderfully sweet.
4484|der|der Nachwuchs||Der Nachwuchs gedeiht prächtig.|offspring, new generation|offspring|The offspring is thriving splendidly.
4485|verb|plädieren|plädieren, plädiert, plädierte, hat plädiert|Der Anwalt plädierte auf Unschuld.|to plead, make one’s case|to plead|The lawyer pleaded for innocence.
4486|verb|trösten|trösten, tröstet, tröstete, hat getröstet|Er tröstet sie nach dem Verlust.|to comfort|to comfort|He comforts her after the loss.
4487|die|die Ungleichheit|die Ungleichheiten|Die Ungleichheit der Einkommen wächst.|inequality, dissimilarity|inequality|Income inequality is growing.
4488|der|der Verteidiger|die Verteidiger|Der Verteidiger blockte den Angriff.|defender, defense counsel|defender|The defender blocked the attack.
4489|das|das Center|die Center|Das Center öffnet um zehn Uhr.|center|center|The center opens at ten o'clock.
4490|der|der Halt|die Halte|Der Bus machte einen kurzen Halt.|stop, hold|stop|The bus made a short stop.
4491|das|das Handwerk|die Handwerke|Das Handwerk hat eine lange Tradition.|craft, trade|craft|The craft has a long tradition.
4492|adj|humanitär||Sie leisteten humanitäre Hilfe.|humanitarian|humanitarian|They provided humanitarian aid.
4493|das|das Intervall|die Intervalle|Das Intervall wiederholt sich oft.|interval|interval|The interval repeats frequently.
4494|adj|naiv||Das naive Kind vertraute jedem.|naive|naive|The naive child trusted everyone.
4495|der|der Rentner|die Rentner|Der Rentner genießt den Ruhestand.|pensioner|pensioner|The pensioner enjoys retirement.
4496|die|die Skala|die Skalaen|Die Skala reicht von eins bis zehn.|scale, dial, range|scale|The scale ranges from one to ten.
4497|adv|sogleich||Sogleich begann die Musik zu spielen.|immediately|immediately|Immediately, the music started playing.
4498|das|das Substantiv|die Substantive|Ein Substantiv kann eine Sache benennen.|noun|noun|A noun can name a thing.
4499|das|das Testament|die Testamente|Das Testament wurde vorgelesen.|will|will|The will was read aloud.
4500|die|die Algebra|die Algebraen|Die Algebra ist Teil der Mathematik.|algebra|algebra|Algebra is part of mathematics.
4501|verb|befördern|befördern, befördert, beförderte, hat befördert|Sie haben Waren durchs Land befördert.|to transport|to transport|They transported goods across the country.
4502|die|die Box|die Boxen|Die Box spielte die ganze Nacht Musik.|speaker, pit, stall|speaker|The speaker played music all night long.
4503|adj|gänzlich||Die Entscheidung war gänzlich falsch.|entirely|entirely|The decision was entirely wrong.
4504|das|das Gremium|die Gremiumen|Das Gremium trifft die Entscheidung.|committee|committee|The committee makes the decision.
4505|adv|hinunter||Er kletterte langsam hinunter.|down|down|He climbed down slowly.
4506|adv|soeben||Ich habe den Unfall soeben gesehen.|just|just|I just saw the accident.
4507|die|die Sportart|die Sportarten|Diese Sportart erfordert Ausdauer.|(type of) sport, discipline|(type of) sport|This sport requires endurance.
4508|das|Tirol||Tirol ist bekannt für seine Berge.|Tyrol|Tyrol|Tyrol is famous for its mountains.
4509|die|die Zuordnung|die Zuordnungen|Die Zuordnung der Aufgaben war klar.|classification, assignment|assignment|The assignment of tasks was clear.
4510|adj|asiatisch||Das asiatische Gericht war sehr scharf.|Asian|Asian|The Asian dish was very spicy.
4511|die|die Biografie|die Biografien|Die Biografie wurde veröffentlicht.|biography|biography|The biography was published.
4512|adj|blutig||Nach dem Unfall war die Straße blutig.|bloody|bloody|After the accident, the street was bloody.
4513|der|der Erwerb|die Erwerbe|Der Erwerb des Hauses war teuer.|acquisition, purchase|acquisition|The acquisition of the house was expensive.
4514|das|das Hindernis|die Hindernisse|Das Hindernis wurde überwunden.|obstacle|obstacle|The obstacle was overcome.
4515|adv|inwieweit||Inwieweit das stimmt, bleibt offen.|to what extent|to what extent|To what extent this is true remains open.
4516|adj|römisch||Das römische Reich war mächtig.|Roman|Roman|The Roman Empire was powerful.
4517|adv|weitaus||Das ist weitaus besser als erwartet.|much, far|much|That is much better than expected.
4518|die|die Wiedervereinigung|die Wiedervereinigungen|Die Wiedervereinigung war historisch.|reunification|reunification|The reunification was historic.
4519|die|die Abfahrt|die Abfahrten|Die Abfahrt des Zuges wurde angekündigt.|departure|departure|The departure of the train was announced.
4520|die|die Anleihe|die Anleihen|Er hat eine Anleihe aufgenommen.|loan, bond, borrowing|loan|He took out a loan.
4521|adj|auswärtig||Die auswärtigen Gäste reisten an.|external|external|The external guests arrived.
4522|adj|elastisch||Das Material ist ziemlich elastisch.|elastic|elastic|The material is quite elastic.
4523|verb|entkommen|entkommen, entkommt, entkam, ist entkommen|Der Dieb entkommt der Polizei knapp.|to escape|to escape|The thief narrowly escapes the police.
4524|der|der Herausgeber|die Herausgeber|Der Herausgeber entschied das Layout.|publisher|publisher|The publisher decided the layout.
4525|das|das Kinn|die Kinne|Er kratzte sich nachdenklich am Kinn.|chin|chin|He scratched his chin thoughtfully.
4526|verb|nahelegen|nahelegen, legt nahe, legte nahe, hat nahegelegt|Die Daten nahelegen etwas anderes.|to suggest|to suggest|The data suggest something else.
4527|die|die Naturwissenschaft|die Naturwissenschaften|Sie studiert Naturwissenschaft.|natural science|natural science|She studies natural science.
4528|prep|seitens||Seitens der Regierung gab es Kritik.|by, on the part of|by|There was criticism by the government.
4529|adj|verbal||Es kam zu einem verbalen Streit.|verbal|verbal|A verbal argument ensued.
