Der Hund ist groß.|The dog is big.
Sie hat keine Hemmungen.|She has no inhibitions.
Das Schlafzimmer ist groß.|The bedroom is large.
Die Tragödie war erschütternd.|The tragedy was shocking.
Die Wunde heilt langsam.|The wound heals slowly.
Sie ist achtzehn Jahre alt.|She is eighteen years old.
Das Chaos ist komplett.|The chaos is complete.
Die Krone ist aus Gold.|The crown is made of gold.
Er reibt sich die Augen.|He rubs his eyes.
Der Reporter berichtet live.|The reporter reports live.
Er trank einen Schluck Wasser.|He took a sip of water.
Der Schock war groß.|The shock was great.
Er schrieb die Adresse auf.|He wrote down the address.
Der Lärm reizt mich.|The noise annoys me.
Das Attribut ist wichtig.|The attribute is important.
Er reißt den Brief auf.|He tears open the letter.
Die Diagnose war richtig.|The diagnosis was correct.
Ein neues Problem kam hinzu.|A new problem was added.
Das Prinzip ist einfach.|The principle is simple.
Der Spiegel reflektiert das Licht.|The mirror reflects the light.
Die Unterlagen sind vollständig.|The documents are complete.
Die Unterlage ist fest.|The base is solid.
Er vernachlässigt seine Arbeit.|He neglects his work.
Das Schiff versinkt.|The ship sinks.
Das Wasser erhitzt schnell.|The water heats up quickly.
Der Ersatz kam rechtzeitig.|The replacement arrived on time.
Die EU-Kommission tagt heute.|The European Commission meets today.

Das Rezept ist hessisch.|The recipe is Hessian.
Die Gruppe ist passiv.|The group is passive.
Der Rauch stieg auf.|The smoke rose.
Der Müll stinkt.|The garbage stinks.
Tschüss, bis morgen!|Bye, see you tomorrow!
Der Vorgänger war erfahren.|The predecessor was experienced.
Er starrt das Bild an.|He stares at the picture.
Der Bericht ist detailliert.|The report is detailed.
Die Fremdsprache ist schwierig.|The foreign language is difficult.
Das Gepäck ist schwer.|The luggage is heavy.
Er ist unglücklich.|He is unhappy.
Der Wind weht stark.|The wind blows strongly.
Wir probieren das Rezept aus.|We try out the recipe.
Er bewirbt sich um die Stelle.|He applies for the job.
Wir erhoffen uns Erfolg.|We hope for success.
Die Feder ist leicht.|The feather is light.
Die Feuerwehr ist schnell.|The fire brigade is fast.
Er fixiert das Bild.|He fixes the picture.
Das Gemälde ist schön.|The painting is beautiful.
Das Heim ist gemütlich.|The home is cozy.
Der Lehrer wird herangezogen.|The teacher is consulted.
Das Image ist positiv.|The image is positive.
Der Koch ist talentiert.|The cook is talented.
Der Stadtteil ist ruhig.|The district is quiet.
Der Träger ist stabil.|The strap is stable.
Die Kontrolle wird verschärft.|The control is tightened.
Die Zunahme ist deutlich.|The increase is significant.
Der Zug nähert sich.|The train approaches.
Der Baron lebt im Schloss.|The baron lives in the castle.
Das Eigentum ist wertvoll.|The property is valuable.
Die Arbeit ist gründlich.|The work is thorough.
Sachsen-Anhalt liegt in Deutschland.|Saxony-Anhalt is in Germany.
Er sieht sich um.|He looks around.
Die Nachricht kam via E-Mail.|The message came via email.
Der Abzug ist abgeschlossen.|The withdrawal is completed.
Der Befund war positiv.|The result was positive.
Die Niederlande sind schön.|The Netherlands are beautiful.
Die Preise schwanken stark.|The prices vary greatly.
Der Stoß war heftig.|The push was strong.
Das ist völliger Unsinn.|That is complete nonsense.
Die Wahlperiode dauert vier Jahre.|The term lasts four years.
Die Straße war blockiert.|The street was blocked.
Das Defizit ist groß.|The deficit is large.
Die Dynamik ist beeindruckend.|The dynamics are impressive.
Ich finde das nirgendwo.|I can't find that anywhere.
Sie umarmte ihn.|She embraced him.
Vernunft ist wichtig.|Reason is important.
Die Anregung war nützlich.|The idea was useful.
Der Code ist schwer zu knacken.|The code is hard to crack.
Die jetzige Lage ist schwierig.|The current situation is difficult.
Wir kommunizieren oft per E-Mail.|We often communicate by email.
Der Krebs ist besiegt.|The cancer is defeated.
Der Kühlschrank ist leer.|The fridge is empty.
Das ist einfach lächerlich.|That is just ridiculous.
Die Airline ist pünktlich.|The airline is punctual.
Der Akt dauert eine Stunde.|The act lasts one hour.
Das Ergebnis war außerordentlich.|The result was extraordinary.
Der Empfang war herzlich.|The reception was warm.
Die Kosten sind minimal.|The costs are minimal.
Er hat einen steifen Nacken.|He has a stiff neck.
Der Republikaner gewann die Wahl.|The Republican won the election.
Der Rhythmus ist angenehm.|The rhythm is pleasant.
Es war unerwartet.|It was unexpected.
Die Unterschrift fehlt.|The signature is missing.
Die Kosten fallen monatlich an.|The costs accumulate monthly.
Der Ausfall war ein Schock.|The failure was a shock.
Ich habe ein Visum beantragt.|I applied for a visa.
Ich bin daheim geblieben.|I stayed at home.
Der Offizier gab Befehle.|The officer gave orders.
Der Protagonist ist mutig.|The protagonist is brave.
Der Lärm quälte mich.|The noise tormented me.
Die Strömung ist stark.|The current is strong.
Die Aufgabe überfordert mich.|The task overwhelms me.
Alles wurde dokumentiert.|Everything was documented.
Die Gliederung ist klar.|The structure is clear.
Die Kartoffel ist gekocht.|The potato is cooked.
Die Katze schlich sich herein.|The cat sneaked in.
Er hat Gewicht zugelegt.|He has gained weight.
Der Aktionär ist zufrieden.|The shareholder is satisfied.
Er setzte sich mit dem Problem auseinander.|He dealt with the problem.
Er wurde streng bestraft.|He was severely punished.
Ich lege das Buch ein.|I insert the book.
Ich habe Englisch erlernt.|I learned English.
Der Friedhof ist ruhig.|The cemetery is quiet.
Der Schaden ist materiell.|The damage is material.
Der Produzent ist bekannt.|The producer is well-known.
Die Transparenz ist wichtig.|Transparency is important.
Der Asylbewerber wartet.|The asylum seeker waits.
Der Eigentümer verkauft das Haus.|The owner sells the house.
Die Fabrik produziert Autos.|The factory produces cars.
Der Soldat ist mutig.|The soldier is courageous.
Der Stolz war sichtbar.|The pride was visible.
Der Lehrer ist sympathisch.|The teacher is sympathetic.
Die Tafel ist sauber.|The board is clean.
Die Transformation ist abgeschlossen.|The transformation is complete.
Die Uniform ist blau.|The uniform is blue.
Er weigerte sich zu gehen.|He refused to go.
Die Akte ist geschlossen.|The file is closed.
Das Buch charakterisiert die Zeit.|The book characterizes the time.
Er fotografiert gern.|He likes to photograph.
Das Heft ist voll.|The notebook is full.
Das war sehr hilfreich.|That was very helpful.
Er kombiniert die Farben.|He combines the colors.
Das Schloss ist königlich.|The castle is royal.
Das Magnetfeld ist stark.|The magnetic field is strong.
Mode wechselt schnell.|Fashion changes quickly.
Die Schlagzeile war groß.|The headline was big.
Das Kleid ist schmutzig.|The dress is dirty.
Er hat das Konto überzogen.|He overdrew the account.
Die Schüler sind zumeist pünktlich.|The students are mostly punctual.
Der Abend war gemütlich.|The evening was cozy.
Der Spanier spricht schnell.|The Spaniard speaks quickly.
Das Zeitalter der Technik.|The age of technology.
Er streckte seine Hand aus.|He stretched out his hand.
Sein Gesicht war blass.|His face was pale.
Das irritiert mich.|That confuses me.
Der Jurist gab Rat.|The lawyer gave advice.
Die Mission war erfolgreich.|The mission was successful.
Das Mitochondrium produziert Energie.|The mitochondrion produces energy.
Das Neuron ist aktiv.|The neuron is active.
Die Regulation ist streng.|The regulation is strict.
Der Rücktritt kam überraschend.|The resignation came unexpectedly.
Die Schätzung war korrekt.|The estimate was accurate.
Die Entropie nimmt zu.|The entropy increases.
Das Gelenk tut weh.|The joint hurts.
Der Marktanteil ist gestiegen.|The market share has increased.
Der Staat reguliert den Markt.|The state regulates the market.
Der Rundfunk sendet Nachrichten.|The broadcast transmits news.
Die Teilnahme war hoch.|The participation was high.
Thermodynamik ist komplex.|Thermodynamics is complex.
Der LKW ist schwer.|The truck is heavy.
Das ist alles Quatsch.|That's all nonsense.
Der Abend war romantisch.|The evening was romantic.
Das Substrat ist wichtig.|The substrate is important.
Er hat den Preis erlangt.|He obtained the prize.
Mach die Tür zu.|Close the door.
Er stellt seine Kunstwerke aus.|He displays his artworks.
Das Becken ist leer.|The pool is empty.
Die Straßen kreuzen sich hier.|The streets cross here.
Das Fleisch ist zart.|The meat is tender.
Der Zwang war groß.|The pressure was immense.
Der Engländer spricht Deutsch.|The Englishman speaks German.
Die Münze ist alt.|The coin is old.
Die Nachrichtenagentur meldet Neuigkeiten.|The news agency reports news.
Der Schmerz ist seitlich.|The pain is lateral.
Das Abendessen war lecker.|The dinner was delicious.
Der Beobachter blieb ruhig.|The observer remained calm.
Der Durchmesser ist groß.|The diameter is large.
Die Oper ist lang.|The opera is long.
Ich bin satt.|I am full.
Die SPÖ gewinnt die Wahl.|The SPÖ wins the election.
Das Bild ist symbolisch.|The picture is symbolic.
Er trägt ein T-Shirt.|He wears a T-shirt.
Die Zerstörung war massiv.|The destruction was massive.
Er gestand seine Tat.|He confessed his act.
Die Kerze brennt.|The candle burns.
Die Konferenz war erfolgreich.|The conference was successful.
Das Dorf ist ländlich.|The village is rural.
Das Projekt ist im letzten Stadium.|The project is in the final stage.
Das war ein großes Unrecht.|That was a great injustice.
Die Versicherung ist teuer.|The insurance is expensive.
Die Wurst ist frisch.|The sausage is fresh.
Das Buch ist anspruchsvoll.|The book is sophisticated.
Ich habe Bedenken.|I have concerns.
Ein Cent ist wenig.|One cent is little.
Er wurde ermordet.|He was murdered.
Die Form ist geometrisch.|The shape is geometric.
Meine Geschwister sind nett.|My siblings are nice.
Sie kleidet sich elegant.|She dresses elegantly.
Der Turm ragt hoch.|The tower protrudes high.
Der Staub ist überall.|The dust is everywhere.
Das ist unwahrscheinlich.|That is unlikely.
Au, das tut weh!|Ouch, that hurts!
Er griff die Idee auf.|He took up the idea.
Er wurde beauftragt.|He was given the task.
Der Brand war gefährlich.|The fire was dangerous.
Das Wasser dringt ein.|The water penetrates.
Die Arbeit brachte Erfüllung.|The work brought fulfillment.
Das Examen ist bald.|The exam is soon.
Der Kristall ist klar.|The crystal is clear.
Die Wirkung war partiell.|The effect was partial.
Die Schale ist voll.|The bowl is full.
Das Kind hat gescheißt.|The child pooped.
Der Schiedsrichter ist streng.|The referee is strict.
Der Tanz war schön.|The dance was beautiful.
Er tippt schnell.|He types quickly.
Das Universum ist groß.|The universe is vast.
Die Städte sind vernetzt.|The cities are networked.
Vierzehn Tage sind vergangen.|Fourteen days have passed.
Er machte weiter.|He continued.
Der Dieb haute ab.|The thief ran away.
Die Ablehnung war deutlich.|The rejection was clear.
Die Abwehr ist stark.|The defense is strong.
Er fiel auf den Arsch.|He fell on his ass.
Er kennt sich aus.|He knows his way around.
Die Globalisierung schreitet voran.|Globalization is advancing.
Die Kampagne war erfolgreich.|The campaign was successful.
Der Dieb hat geklaut.|The thief stole.
Das Rathaus ist alt.|The town hall is old.
Er ist schwul.|He is gay.
Der Lärm lenkt mich ab.|The noise distracts me.
Das war bemerkenswert.|That was remarkable.
Das Camp ist groß.|The camp is big.
Mein Daumen tut weh.|My thumb hurts.
Die Meinung ist einseitig.|The opinion is one-sided.
Er lauscht dem Gespräch.|He listens to the conversation.
Ich kann das nachvollziehen.|I can understand that.
Nordrhein-Westfalen ist groß.|North Rhine-Westphalia is large.
Er hat keinen Verstand.|He has no reason.
Er sprach zugunsten des Plans.|He spoke in favor of the plan.
Man konnte ihm nichts anmerken.|You couldn't notice anything on him.
Das System hat sich bewährt.|The system has proven itself.
Das Gesetz gilt bundesweit.|The law applies nationwide.
Er zog den Plan durch.|He saw the plan through.
Er erholt sich am Strand.|He recovers on the beach.
Kohlenstoff ist wichtig.|Carbon is important.
Die Quote ist gestiegen.|The rate has increased.
Die Vorlage ist fertig.|The draft is ready.
Das ist ein gutes Vorzeichen.|That is a good sign.
Der Zugriff wurde verweigert.|The access was denied.
Der Duft ist aromatisch.|The scent is aromatic.
Der Grenzwert wurde erreicht.|The threshold was reached.
Die Großstadt ist laut.|The large city is noisy.
Er hob den Punkt hervor.|He emphasized the point.
Das Lokal ist voll.|The pub is full.
Es ist Mitternacht.|It is midnight.
Die Reaktion war thermisch.|The reaction was thermal.
Die Kosten wurden vermindert.|The costs were reduced.
Wir sind verwandt.|We are related.
Die Beschleunigung war stark.|The acceleration was strong.
Der Bundespräsident sprach im Fernsehen.|The Federal President spoke on TV.
Die Erfindung ist genial.|The invention is ingenious.
Die Fliege nervt mich.|The fly annoys me.
Das Immunsystem ist stark.|The immune system is strong.
Der Ballon platzte.|The balloon burst.
Die Pressekonferenz war spannend.|The press conference was exciting.
Der Kellner serviert das Essen.|The waiter serves the food.
Der Sessel ist bequem.|The armchair is comfortable.
Der Strahl ist hell.|The beam is bright.
Ihre Anwesenheit ist erforderlich.|Her presence is required.
Der Bube spielt draußen.|The boy plays outside.
Die Geldpolitik verändert sich.|The financial policy is changing.
Das war gewissermaßen lustig.|That was, so to speak, funny.
Der Ingenieur entwirft die Brücke.|The engineer designs the bridge.
Das Manuskript ist fertig.|The manuscript is finished.
Die Nacherfüllung ist erforderlich.|Supplementary performance is necessary.
Der Bericht ist sachlich.|The report is objective.
Der Ausschuss trifft eine Entscheidung.|The committee makes a decision.
Jeder Mitgliedstaat hat eine Stimme.|Each member state has one vote.
Die Spaltung ist tief.|The split is deep.
Das Antibiotikum wirkt schnell.|The antibiotic works quickly.
Er wies sie an zu warten.|He instructed her to wait.
Wir machen einen Ausflug.|We are taking a trip.
Das Ereignis war außergewöhnlich.|The event was extraordinary.
Die Baustelle ist gesichert.|The construction site is secured.
Der Index ist nützlich.|The index is useful.
Der Kasten ist schwer.|The box is heavy.
Das Kölner Dom ist berühmt.|The Cologne Cathedral is famous.
Der Pariser Bäcker ist bekannt.|The Parisian baker is famous.
Er schimpfte laut.|He scolded loudly.
Die Sicherung ist durchgebrannt.|The fuse has blown.
Die Steigung ist steil.|The slope is steep.
Er nahm das Spielzeug weg.|He took the toy away.
Worum geht es?|What is it about?
Der Balkon ist groß.|The balcony is large.
Ich habe kein bar Geld.|I have no cash.
Das Business floriert.|The business is thriving.
Das Duell war spannend.|The duel was exciting.
Das Geschenk erfreut mich.|The gift delights me.
Die Stadt erschließt neue Gebiete.|The city develops new areas.
Das Gewehr ist geladen.|The rifle is loaded.
Das Mittelmeer ist warm.|The Mediterranean Sea is warm.
Das Tuch ist sauber.|The cloth is clean.
Wir vereinfachen den Prozess.|We simplify the process.
Die Wende war entscheidend.|The change was crucial.
Die Agentur hilft uns.|The agency helps us.
Das Bündnis ist stark.|The alliance is strong.
Der Besuch war flüchtig.|The visit was fleeting.
Die Geographie ist interessant.|Geography is interesting.
Das Lebewesen ist klein.|The living being is small.
Der Ozean ist tief.|The ocean is deep.
Pakistan liegt in Südasien.|Pakistan is in South Asia.
Rheinland-Pfalz ist ein Bundesland.|Rhineland-Palatinate is a federal state.
Der Sektor wächst schnell.|The sector is growing rapidly.
Das Essen war umsonst.|The food was for free.
Das Verhalten ist verdächtig.|The behavior is suspicious.
Er ist sehr zuverlässig.|He is very reliable.
Ich hebe Geld ab.|I withdraw money.
Das ist alltäglich.|That is ordinary.
Er bringt das Bild an.|He attaches the picture.
Der Fehler entging ihm.|He missed the mistake.
Die Serie hat eine Fortsetzung.|The series has a continuation.
Da waren lauter Leute.|There were a lot of people.
Der Mediziner ist erfahren.|The doctor is experienced.
Der Tunnel ist lang.|The tunnel is long.
Der Assistent hilft.|The assistant helps.
Die Differenzierung ist wichtig.|The differentiation is important.
Die Maßnahmen waren drastisch.|The measures were drastic.
Das Wachstum ist gleichmäßig.|The growth is even.
Er nahm die Kritik hin.|He accepted the criticism.
Mexiko ist ein großes Land.|Mexico is a large country.
Die Moderne ist faszinierend.|The modern age is fascinating.
Die Analyse ist molekular.|The analysis is molecular.
Die Nachbarschaft ist ruhig.|The neighborhood is quiet.
Das Wasser erreicht den Siedepunkt.|The water reaches the boiling point.
Die Behandlung ist stationär.|The treatment is inpatient.
Die Taliban kontrollieren das Gebiet.|The Taliban control the area.
Der Angriff war brutal.|The attack was brutal.
Die Arbeit ist ehrenamtlich.|The work is voluntary.
Er ist sehr großzügig.|He is very generous.
Die Redaktion ist fleißig.|The editorial staff is diligent.
Der Schweiß tropft.|The sweat drips.
Der Spruch ist bekannt.|The saying is well-known.
Die Regeln sind strikt.|The rules are strict.
Die Befragung war interessant.|The survey was interesting.
Sie ist die Einzige hier.|She is the only one here.
Die Eizelle ist befruchtet.|The ovum is fertilized.
Er bleibt fit.|He stays fit.
Die Flüchtlingspolitik ist umstritten.|The refugee policy is controversial.
Ein Haufen Arbeit wartet.|A load of work awaits.
Die Infektion ist gefährlich.|The infection is dangerous.
Der Keks ist lecker.|The cookie is delicious.
Es gibt viele Sorten.|There are many varieties.
Sie sind nett zueinander.|They are nice to each other.
Der Container ist voll.|The container is full.
Er bleibt gelassen.|He remains calm.
Die Sendung ist live.|The broadcast is live.
Die Mutation ist selten.|The mutation is rare.
Das System ist sozialistisch.|The system is socialist.
Er hat die Krankheit überstanden.|He survived the illness.
Die Vermutung war richtig.|The assumption was correct.
Er sprang auf vor Freude.|He jumped up with joy.
Der Käse ist reif.|The cheese is ripe.
Die Party geht los.|The party starts.
Das Maul des Hundes ist groß.|The dog's jaws are big.
Sie protestieren gegen die Pläne.|They protest against the plans.
Er schämt sich seiner Taten.|He is ashamed of his actions.
Die Alpen sind majestätisch.|The Alps are majestic.
Die Berufung wurde abgelehnt.|The appeal was rejected.
Die Einteilung ist klar.|The classification is clear.
Der Eintritt ist kostenlos.|The admission is free.
Die Geliebte wartet.|The lover waits.
Ein Gramm Zucker reicht.|One gram of sugar is enough.
Die Hüfte schmerzt.|The hip hurts.
Neulich habe ich ihn getroffen.|I met him the other day.
Das war regelrecht absurd.|That was really absurd.
Das Gesetz ist verankert.|The law is enshrined.
Der Zähler ist kaputt.|The meter is broken.
Das Essen befriedigt mich.|The food satisfies me.
Er beseitigt das Problem.|He eliminates the problem.
Der Gründer hat Erfolg.|The founder is successful.
Das Orchester spielt gut.|The orchestra plays well.
Der Plan ist regulär.|The plan is regular.
Der Türke spricht Deutsch.|The Turk speaks German.
Das Essen ist ukrainisch.|The food is Ukrainian.
Der Diktator unterdrückt das Volk.|The dictator suppresses the people.
Der Raum ist unterteilt.|The room is divided.
Das Bild ist verzogen.|The picture is distorted.
Die Bestellung ist angekommen.|The order has arrived.
Alles ist eingeschlossen.|Everything is included.
Das Glied schmerzt.|The limb hurts.
Die Migration nimmt zu.|Migration is increasing.
Der Roboter funktioniert gut.|The robot works well.
Die Bitte wurde abgelehnt.|The request was denied.
Die Blüte ist schön.|The blossom is beautiful.
Das Feld ist elektromagnetisch.|The field is electromagnetic.
Er steht inmitten der Menge.|He stands in the middle of the crowd.
Abschließend möchte ich sagen.|In conclusion, I want to say.
Er schlägt das Buch auf.|He opens the book.
Die Glocke läutet.|The bell rings.
Informatik ist mein Fach.|Computer science is my subject.
Der Niederschlag war stark.|The rainfall was heavy.
Die Hilfe war örtlich.|The help was local.
Er streift den Arm.|He brushes the arm.
Der Topf ist heiß.|The pot is hot.
Die Enttäuschung war groß.|The disappointment was great.
Er ernährt die Familie.|He supports the family.
Der Schauspieler ist prominent.|The actor is prominent.
Die Sowjetunion existiert nicht mehr.|The Soviet Union no longer exists.
Das Essen ist afrikanisch.|The food is African.
Es gibt viele Beschränkungen.|There are many restrictions.
Die Genehmigung ist erforderlich.|The permit is necessary.
Die Lampe ist hell.|The lamp is bright.
Die Moral der Geschichte.|The moral of the story.
Das Buch ist philosophisch.|The book is philosophical.
Sie verständigen sich.|They communicate.
Die Willenserklärung ist nötig.|The declaration of intent is necessary.
Er zweifelt an der Wahrheit.|He doubts the truth.
Die Krise dauert an.|The crisis continues.
Er richtet sich auf.|He straightens up.
Das Wasser läuft aus.|The water is leaking.
Ich bin einverstanden.|I am in agreement.
Der Bericht ist fachlich.|The report is technical.
Das Märchen ist bekannt.|The fairy tale is well-known.
Das Regime ist streng.|The regime is strict.
Der Schädel ist gebrochen.|The skull is broken.
Er spezialisiert sich.|He specializes.
Die Preise variieren.|The prices vary.
Der Löwe brüllt.|The lion roars.
Der Operator ist wichtig.|The operator is important.
Die Partnerschaft ist stark.|The partnership is strong.
Ein Pfund Zucker bitte.|A pound of sugar, please.
Die Unterhaltung war lustig.|The conversation was funny.
Das Gebäude zerfällt.|The building is falling apart.
Das Projekt kam zustande.|The project came about.
Er löst ihn ab.|He takes over from him.
Es gibt allenfalls eine Chance.|There is at most one chance.
Das Ergebnis bleibt aus.|The result is missing.
Er besorgt das Essen.|He provides the food.
Binnen einer Woche.|Within a week.
Sein einstiger Freund.|His former friend.
Er setzte sich dem entgegen.|He opposed it.
Die Inszenierung war beeindruckend.|The production was impressive.
Das Kraftwerk ist groß.|The power plant is large.
Das Nervensystem ist komplex.|The nervous system is complex.
Der Wind kommt nördlich.|The wind comes from the north.
Das obige Beispiel.|The above example.
Er ist skeptisch.|He is skeptical.
Die Polizei überwacht das Gebiet.|The police monitor the area.
Die UNO hilft.|The UN helps.
Sie wohnt woanders.|She lives somewhere else.
Er liest die Daten ab.|He reads the data.
Er zündet die Kerze an.|He lights the candle.
Die Untersuchung ist ärztlich.|The examination is medical.
Der Fürst ist reich.|The prince is rich.
Der Tischler ist geschickt.|The carpenter is skilled.
Das Dorf ist mittelalterlich.|The village is medieval.
Er repräsentiert die Firma.|He represents the company.
Das Rezept ist einfach.|The recipe is simple.
Der Sack ist schwer.|The bag is heavy.
Thüringen liegt in Deutschland.|Thuringia is in Germany.
Das Material ist anorganisch.|The material is inorganic.
Ich kann das nicht ausstehen.|I can't stand that.
Das Bundesamt ist zuständig.|The federal office is responsible.
Der Preis schließt alles ein.|The price includes everything.
Der Faden ist lang.|The thread is long.
Hunderttausend Menschen kamen.|A hundred thousand people came.
Der Oberschenkel schmerzt.|The thigh hurts.
Die Schlacht war heftig.|The battle was fierce.
Das Argument ist sinnlos.|The argument is meaningless.
Er strebt nach Erfolg.|He strives for success.
Der Algorithmus ist komplex.|The algorithm is complex.
Das Licht beleuchtet den Raum.|The light illuminates the room.
Er druckt das Dokument.|He prints the document.
Das Ziel ist erreichbar.|The goal is reachable.
Der Regen erschwert die Fahrt.|The rain complicates the drive.
Die Fahne weht im Wind.|The flag waves in the wind.
Panik breitete sich aus.|Panic spread.
Das Buch ist populär.|The book is popular.
Die Rotation ist schnell.|The rotation is fast.
Er unterschätzt die Gefahr.|He underestimates the danger.
Die Vereinigung feiert Jubiläum.|The association celebrates its anniversary.
Der Anleger ist zufrieden.|The investor is satisfied.
Der Darm ist empfindlich.|The intestine is sensitive.
Er erobert das Land.|He conquers the land.
Die Fassade ist neu.|The facade is new.
Er ist der Favorit.|He is the favorite.
Das Plakat ist bunt.|The poster is colorful.
Die Terrasse ist groß.|The terrace is large.
Er sucht den Arzt auf.|He visits the doctor.
Er forscht im Labor.|He researches in the lab.
Der Gesetzentwurf wurde diskutiert.|The bill was discussed.
Das Thema ist intellektuell.|The topic is intellectual.
Der Held ist legendär.|The hero is legendary.
Die Lektüre ist spannend.|The reading is exciting.
Die Bewegung ist motorisch.|The movement is motor.
Nunmehr sind wir bereit.|Now we are ready.
Die Richtlinie ist klar.|The guideline is clear.
Der Trick ist einfach.|The trick is simple.
Ein Tropfen fiel.|A drop fell.
Das Gesetz wurde abgeschafft.|The law was abolished.
Er hebt das Gewicht an.|He raises the weight.
Ich bewundere seine Arbeit.|I admire his work.
Die Burg ist alt.|The castle is old.
Der Engel ist schön.|The angel is beautiful.
Das Fazit ist positiv.|The conclusion is positive.
Das Bild ruft Emotionen hervor.|The picture evokes emotions.
Irland ist grün.|Ireland is green.
Die Mechanik ist kompliziert.|The mechanics are complicated.
Der Psychologe hilft.|The psychologist helps.
Das Lied spielt ab.|The song plays.
Die Erhebung ist abgeschlossen.|The survey is completed.
Der Turm ragt heraus.|The tower stands out.
Das Stück wurde inszeniert.|The play was staged.
Die Leute klatschten.|The people clapped.
Das Magazin ist interessant.|The magazine is interesting.
Die Zuhörer applaudierten.|The audience applauded.
Er beschwert sich oft.|He complains often.
Der Zug kommt entgegen.|The train comes towards.
Die Hast war groß.|The haste was great.
Er klettert hinauf.|He climbs up.
Er hindert mich nicht.|He does not prevent me.
Er wurde das Problem los.|He got rid of the problem.
Das Wetter ist mild.|The weather is mild.
Die Minderheit protestiert.|The minority protests.
Prävention ist wichtig.|Prevention is important.
Die Zahlen schrumpfen.|The numbers are shrinking.
Der Richter vernimmt den Zeugen.|The judge examines the witness.
Das Projekt erstreckt sich über Jahre.|The project extends over years.
Der Genosse hilft.|The comrade helps.
Öh, was meinst du?|Uh, what do you mean?
Das Essen ist thüringisch.|The food is Thuringian.
Er trägt das Gedicht vor.|He recites the poem.
Das Hirn ist komplex.|The brain is complex.
Der Pfeil fliegt.|The arrow flies.
Der Schuldner zahlt nicht.|The debtor does not pay.
Die Überprüfung ist notwendig.|The inspection is necessary.
Die Verzweiflung war groß.|The desperation was great.
Das vorige Kapitel war spannend.|The previous chapter was exciting.
Die Anweisung ist klar.|The instruction is clear.
Er zahlt mit Bargeld.|He pays with cash.
Das Bier ist belgisch.|The beer is Belgian.
Sie erkundigt sich nach ihm.|She inquires about him.
Das Format ist falsch.|The format is wrong.
Die Gasse ist eng.|The alley is narrow.
Der Gesichtspunkt ist interessant.|The point of view is interesting.
Der Ring ist glänzend.|The ring is shiny.
Das Original ist besser.|The original is better.
Die ÖVP hat gewonnen.|The ÖVP won.
Die Priorität ist hoch.|The priority is high.
Der Stich juckt.|The bite itches.
Es gibt viele Variationen.|There are many variations.
Der Wettkampf war hart.|The competition was tough.
Der Fremde fragt nach dem Weg.|The stranger asks for directions.
Der Kleber haftet gut.|The glue adheres well.
Die Linie ist horizontal.|The line is horizontal.
Er irrt sich oft.|He is often wrong.
Das Verhalten ist kriminell.|The behavior is criminal.
Das Gebäude verfällt.|The building is decaying.
Der Bericht ist vorzeitig fertig.|The report is finished early.
Die Firma siedelt sich hier an.|The company settles here.
Der Bewerber ist qualifiziert.|The applicant is qualified.
Die Breite ist groß.|The width is large.
Er sieht die Akten ein.|He looks into the files.
Die Epoche war bedeutend.|The epoch was significant.
Die Explosion war laut.|The explosion was loud.
Er ist ein Idiot.|He is an idiot.
Die Kulisse ist schön.|The setting is beautiful.
Die Lieferung kam pünktlich.|The delivery arrived on time.
Das Argument ist nachvollziehbar.|The argument is plausible.
Der Unterschied ist spürbar.|The difference is noticeable.
Der Stall ist sauber.|The stable is clean.
Die Arbeitskraft ist motiviert.|The worker is motivated.
Die Bibel ist heilig.|The Bible is holy.
Die Gemeinsamkeit ist offensichtlich.|The commonality is obvious.
Das Gemisch ist homogen.|The mixture is homogeneous.
Sie ist schlank.|She is slim.
Der Dreck ist überall.|The dirt is everywhere.
Er eilt zur Arbeit.|He hurries to work.
Sie fügte sich ihrem Schicksal.|She resigned herself to her fate.
Heuer feiern wir Weihnachten.|This year we celebrate Christmas.
Die Hölle ist heiß.|Hell is hot.
Das Buch ist quadratisch.|The book is square.
Die Reflexion ist klar.|The reflection is clear.
Das Haus ist solide gebaut.|The house is solidly built.
Der Dieb war unauffällig.|The thief was inconspicuous.
Der Zwerg ist klein.|The dwarf is small.
Die Anmerkung war hilfreich.|The note was helpful.
Das Geld ist ein Anreiz.|Money is an incentive.
Die Ausrichtung ist falsch.|The alignment is wrong.
Die Daten wurden ausgewertet.|The data were evaluated.
Er ersparte mir die Mühe.|He spared me the trouble.
Das Team ist homogen.|The team is homogeneous.
Er kam spät nach Hause.|He came home late.
Er hat Diabetes.|He has diabetes.
Fotografie ist meine Leidenschaft.|Photography is my passion.
Die Galerie ist groß.|The gallery is large.
Er wurde in Haft genommen.|He was taken into custody.
Die Malerei ist alt.|The painting is old.
Die Marktwirtschaft wächst.|The market economy is growing.
Die Maske ist schwarz.|The mask is black.
Mmh, das schmeckt gut.|Mmh, that tastes good.
Die Präsentation war lang.|The presentation was long.
Der Schmerz war unerträglich.|The pain was unbearable.
Das Papier wurde zerrissen.|The paper was torn.
Der Unfall war zwangsläufig.|The accident was inevitable.
Er hat sich betrunken.|He got drunk.
Die Furcht war groß.|The fear was great.
Das Klavier ist teuer.|The piano is expensive.
Das Gebäude ist kommunal.|The building is municipal.
