word_combination_de                    |word_combination_en                    |word_de                                                                          |speech_part                     |word_en                                                      |sentence_de                                                                                                            |sentence_en                                                                                                       |frequency_rank
ein Schema entwickeln                  |develop a scheme                       |das Schema, -s                                                                   |das                             |scheme                                                       |Er arbeitet nach einem festen Schema.                                                                                  |He works according to a fixed scheme.                                                                             |          3697
Sonnenlicht spiegeln                   |reflect sunlight                       |spiegeln, spiegelt, spiegelte, hat gespiegelt                                    |verb                            |to shine, reflect                                            |Diana sitzt am Meer und die Sonne spiegelt sich im Wasser.                                                             |Diana sits by the sea and the sun is reflected in the water.                                                      |          3698
städtische Gebiete                     |urban areas                            |städtisch                                                                        |adj                             |municipal, urban                                             |Ich möchte, dass mein Kind städtisch aufwächst.                                                                        |I want my child to grow up urban.                                                                                 |          3699
sich wandeln                           |to change                              |wandeln, wandelt, wandelte, ist gewandelt                                        |verb                            |to change, convert                                           |Meine Meinung wird sich nicht wandeln.                                                                                 |My opinion will not change.                                                                                       |          3700
harmloses Spiel                        |harmless game                          |harmlos                                                                          |adj                             |harmless                                                     |Dieses Tier ist harmlos, obwohl es gefährlich aussieht.                                                                |This animal is harmless, although it looks dangerous.                                                             |          3701
reichlich essen                        |eat plenty                             |reichlich                                                                        |adj                             |plenty, generous                                             |Meine Oma kocht immer reichlich Essen, sodass wir noch zwei Tage davon essen können.                                   |My grandma always cooks plenty of food so we can eat it for two more days.                                        |          3702
mit Problemen ringen                   |struggle with problems                 |ringen, ringt, rang, hat gerungen                                                |verb                            |to wrestle, struggle                                         |Sie ringt mit dem Gedanken, das Baby zu bekommen.                                                                      |She’s wrestling with the idea of having the baby.                                                                 |          3703
spektakuläres Ereignis                 |spectacular event                      |spektakulär                                                                      |adj                             |spectacular                                                  |Johannas Party morgen wird sicher spektakulär.                                                                         |Johanna’s party tomorrow will be spectacular.                                                                     |          3704
die Wirtschaft stabilisieren           |stabilize the economy                  |stabilisieren, stabilisiert, stabilisierte, hat stabilisiert                     |verb                            |to stabilize                                                 |Die Beziehungen zwischen den Ländern stabilisieren sich.                                                               |The relations between countries are stabilizing.                                                                  |          3705
ein Strich ziehen                      |draw a line                            |der Strich, -e                                                                   |der                             |stroke, line                                                 |Ich versuche seit vielen Minuten, einen ganz geraden Strich zu zeichnen.                                               |I’ve been trying to draw a straight line for many minutes.                                                        |          3706
der Wirt serviert                      |the innkeeper serves                   |der Wirt, -e                                                                     |der                             |host, innkeeper                                              |Zu meinem Geburtstag essen und schlafen wir bei einem bayrischen Wirt.                                                 |For my birthday we eat and sleep at a Bavarian innkeeper’s place.                                                 |          3707
eine Addition machen                   |perform an addition                    |die Addition, -en                                                                |die                             |addition, summation                                          |Wer gut in Mathe sein will, muss die Addition beherrschen.                                                             |If you want to be good at math, you have to master addition.                                                      |          3708
Gerüchte besagen                       |rumors say                             |besagen, besagt, besagte, hat besagt                                             |verb                            |to say                                                       |Das Gesetz besagt, dass man nicht stehlen darf.                                                                        |The law says you can’t steal.                                                                                     |          3709
viel Geduld                            |much patience                          |die Geduld                                                                       |die                             |patience                                                     |Wenn du etwas nicht kannst, brauchst du Geduld, weil du viel üben musst.                                               |When you can’t do something, you need patience because you have to practice a lot.                                |          3710
die Innenstadt erkunden                |explore the town center                |die Innenstadt, -̈e                                                               |die                             |town center, downtown                                        |Die Bahn fährt nicht Richtung Innenstadt, du nimmst dir besser ein Taxi.                                               |The train doesn’t go downtown; you’d better take a cab.                                                           |          3711
eine Konstruktion entwerfen            |design a construction                  |die Konstruktion, -en                                                            |die                             |construction, design                                         |Das Haus ist eine interessante Konstruktion.                                                                           |The house has an interesting construction.                                                                        |          3712
ein Lehrbuch lesen                     |read a textbook                        |das Lehrbuch, -̈er                                                                |das                             |textbook                                                     |Das Lehrbuch in der Schule erklärt nicht alle Themen.                                                                  |The textbook at school doesn’t explain all the topics.                                                            |          3713
im Wettkampf siegen                    |win in the competition                 |siegen, siegt, siegte, hat gesiegt                                               |verb                            |to win, triumph                                              |Bei dem Spiel wird der Klügste siegen.                                                                                 |The smartest man will win the game.                                                                               |          3714
eine Stichprobe nehmen                 |take a sample                          |die Stichprobe, -n                                                               |die                             |sample                                                       |Die Stichproben unterscheiden sich in ihrer Qualität, sind aber allgemein akzeptabel.                                  |The samples differ in quality but are generally acceptable.                                                       |          3715
die Wäsche trocknen                    |dry the laundry                        |trocknen, trocknet, trocknete, hat getrocknet                                    |verb                            |to dry                                                       |Ich lasse meine Haare immer an der Luft trocknen.                                                                      |I always let my hair dry in the open air.                                                                         |          3716
einen Vorsprung haben                  |have a lead                            |der Vorsprung, -̈e                                                                |der                             |lead, advance                                                |Mark ist sehr schnell und hat bei dem Rennen einen großen Vorsprung.                                                   |Mark is very fast and has a big lead in the race.                                                                 |          3717
vorwiegend verwenden                   |mainly use                             |vorwiegend                                                                       |adv                             |mainly                                                       |Ich fahre vorwiegend mit dem Auto zur Arbeit, weil ich dann schneller da bin.                                          |I mainly travel to work by car because I can get there faster.                                                    |          3718
eine Tat bekennen                      |confess a deed                         |bekennen, bekennt, bekannte, hat bekannt                                         |verb                            |to confess, admit                                            |Mark bekennt sich dazu, dass er Männer liebt.                                                                          |Mark admits that he loves men.                                                                                    |          3719
dauernd anwesend                       |constantly present                     |dauernd                                                                          |adj                             |constant, lasting                                            |Er hat dauernd Probleme mit der Polizei.                                                                               |He’s in constant trouble with the police.                                                                         |          3720
eigenständig arbeiten                  |work independently                     |eigenständig                                                                     |adj                             |independent                                                  |Eine eigenständige Person ist von niemandem abhängig.                                                                  |An independent person is not dependent on anyone.                                                                 |          3721
elegante Kleidung                      |elegant clothing                       |elegant                                                                          |adj                             |elegant                                                      |Die Königin bewegt sich sehr elegant.                                                                                  |The queen moves very elegantly.                                                                                   |          3722
rechtliche Haftung                     |legal liability                        |die Haftung, -en                                                                 |die                             |liability                                                    |Das Hotel übernimmt keine Haftung für verlorene Gegenstände.                                                           |The hotel accepts no liability for lost items.                                                                    |          3723
mutmaßlicher Täter                     |suspected perpetrator                  |mutmaßlich                                                                       |adj                             |presumed, suspected                                          |Die Polizei fasst den mutmaßlichen Mörder.                                                                             |The police catch the suspected murderer.                                                                          |          3724
vergleichsweise klein                  |comparatively small                    |vergleichsweise                                                                  |adv                             |comparatively                                                |Mit ihren 30 Jahren ist sie für diesen Job vergleichsweise jung.                                                       |At 30, she is comparatively young for this job.                                                                   |          3725
vermehrt auftreten                     |occur more frequently                  |vermehrt                                                                         |adj                             |increased                                                    |Die vermehrte Nachfrage führt zu einem deutlichen Anstieg der Preise.                                                  |Increased demand is leading to a significant increase in prices.                                                  |          3726
einen Fehler bedauern                  |regret a mistake                       |bedauern, bedauert, bedauerte, hat bedauert                                      |verb                            |to regret, feel sorry                                        |Mark bedauert, dass er Johannas Geburtstag vergessen hat.                                                              |Mark regrets that he forgot Johanna’s birthday.                                                                   |          3727
sich auf eine Reise begeben            |embark on a journey                    |begeben (sich), begibt, begab, hat begeben                                       |verb                            |to proceed                                                   |Alle Reisenden nach Madrid sollen sich zu Gate 26 begeben.                                                             |All passengers to Madrid are to proceed to gate 26.                                                               |          3728
eine Prüfung durchgehen                |go through an exam                     |durchgehen, geht durch, ging durch, ist durchgegangen                            |verb                            |to go through, pass, bolt                                    |Das Pferd erschreckt sich und geht durch.                                                                              |The horse gets scared and bolts.                                                                                  |          3729
Regeln vorschreiben                    |dictate rules                          |vorschreiben, schreibt vor, schrieb vor, hat vorgeschrieben                      |verb                            |to dictate                                                   |Ich lasse mir von meinen Eltern nicht vorschreiben, was ich studiere.                                                  |I won’t have my parents dictate what I study.                                                                     |          3730
sich etwas zutrauen                    |dare to do something                   |zutrauen, traut zu, traute zu, hat zugetraut                                     |verb                            |to dare to do sth                                            |Er traut sich zu, das Problem allein zu lösen.                                                                         |He dares to solve the problem on his own.                                                                         |          3731
abseits stehen                         |stand offside                          |abseits                                                                          |adv                             |offside, off the beaten track                                |Wir wollen einen Platz für unser Zelt finden, der etwas abseits liegt.                                                 |We want to find a place for our tent that is a little off the beaten track.                                       |          3732
asymmetrische Form                     |asymmetric shape                       |asymmetrisch                                                                     |adj                             |asymmetric                                                   |Der Schnitt von diesem Kleid ist asymmetrisch.                                                                         |The cut of this dress is asymmetric.                                                                              |          3733
bescheiden leben                       |live modestly                          |bescheiden                                                                       |adj                             |modest                                                       |Obwohl Edward reich ist, lebt er sehr bescheiden in einem kleinen Haus.                                                |Although Edward is rich, he lives very modestly in a small house.                                                 |          3734
aus dem Gedächtnis entfallen           |slip from memory                       |entfallen, entfällt, entfiel, ist entfallen                                      |verb                            |to slip (sb’s mind), be dropped                              |Das Datum ist mir gerade entfallen.                                                                                    |The date just slipped my mind.                                                                                    |          3735
FIFA Turnier                           |FIFA tournament                        |die FIFA                                                                         |die                             |FIFA                                                         |FIFA ist die Abkürzung für Fédération Internationale de Football Association.                                          |FIFA is the abbreviation for Fédération Internationale de Football Association.                                   |          3736
emotionale Hemmung                     |emotional inhibition                   |die Hemmung, -en                                                                 |die                             |inhibition                                                   |Viele Leute verlieren ihre Hemmungen, wenn sie Alkohol trinken.                                                        |Many people lose their inhibitions when they drink alcohol.                                                       |          3737
ein gemütliches Schlafzimmer           |a cozy bedroom                         |das Schlafzimmer, -                                                              |das                             |bedroom                                                      |Unser Haus hat drei Schlafzimmer.                                                                                      |Our house has three bedrooms.                                                                                     |          3738
eine Tragödie erleben                  |experience a tragedy                   |die Tragödie, -n                                                                 |die                             |tragedy                                                      |Die griechische Tragödie König Ödipus endet mit dem tragischen Tod des Helden.                                         |The Greek tragedy King Oedipus ends with the tragic death of the hero.                                            |          3739
eine Wunde heilen                      |heal a wound                           |die Wunde, -n                                                                    |die                             |wound                                                        |Aus der frischen Wunde fließt Blut.                                                                                    |Blood flows from the fresh wound.                                                                                 |          3740
achtzehn Jahre                         |eighteen years                         |achtzehn                                                                         |num                             |eighteen                                                     |Mit achtzehn Jahren gilt man als erwachsen.                                                                            |With eighteen years one is considered an adult.                                                                   |          3741
das totale Chaos                       |total chaos                            |das Chaos                                                                        |das                             |chaos                                                        |Schnee und Eis können Chaos auf den Straßen verursachen.                                                               |Snow and ice can cause chaos on the roads.                                                                        |          3742
eine goldene Krone                     |a golden crown                         |die Krone, -n                                                                    |die                             |crown                                                        |Die Königin trägt eine Krone auf dem Kopf.                                                                             |The queen wears a crown on her head.                                                                              |          3743
die Augen reiben                       |rub the eyes                           |reiben, reibt, rieb, hat gerieben                                                |verb                            |to rub                                                       |Luke versucht, den Fleck aus seinem Hemd zu reiben.                                                                    |Luke tries to rub the mark out of his shirt.                                                                      |          3744
ein Reporter berichtet                 |a reporter reports                     |der Reporter, -                                                                  |der                             |reporter                                                     |Der Reporter von der Presse fotografiert die Mannschaft nach dem Spiel.                                                |The reporter from the press photographs the team after the match.                                                 |          3745
einen Schluck Wasser                   |a sip of water                         |der Schluck, -e                                                                  |der                             |sip                                                          |Sie trinkt einen Schluck Wasser aus der Flasche.                                                                       |She drinks a sip of water from the bottle.                                                                        |          3746
einen Schock erleiden                  |suffer a shock                         |der Schock, -e                                                                   |der                             |shock                                                        |Nach dem Unfall steht er unter Schock.                                                                                 |He’s in shock after the accident.                                                                                 |          3747
eine Idee aufschreiben                 |write down an idea                     |aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben                      |verb                            |to write down                                                |Wenn ich es nicht aufschreibe, vergesse ich es.                                                                        |If I don’t write it down, I forget it.                                                                            |          3748
jemanden reizen                        |annoy someone                          |reizen, reizt, reizte, hat gereizt                                               |verb                            |to annoy, provoke, tempt                                     |Mein Bruder reizt mich so lange, bis ich ihn haue.                                                                     |My brother keeps tempting me until I hit him.                                                                     |          3749
ein Attribut bestimmen                 |determine an attribute                 |das Attribut, -e                                                                 |das                             |adjunct, attribute                                           |Tanja hat viele schöne Attribute.                                                                                      |Tanja has many beautiful attributes.                                                                              |          3750
eine Packung aufreißen                 |tear open a package                    |aufreißen, reißt auf, riss auf, hat aufgerissen                                  |verb                            |to tear open                                                 |Du sollst das Geschenk nicht immer sofort aufreißen.                                                                   |You shouldn’t always tear open the gift right away.                                                               |          3751
eine Diagnose stellen                  |make a diagnosis                       |die Diagnose, -n                                                                 |die                             |diagnosis                                                    |Morgen fährt er ins Krankenhaus und bekommt seine Diagnose.                                                            |Tomorrow he goes to the hospital and gets his diagnosis.                                                          |          3752
zum Team hinzukommen                   |join the team                          |hinzukommen, kommt hinzu, kam hinzu, ist hinzugekommen                           |verb                            |to be added, join                                            |Zu unserer Gruppe darf jeder hinzukommen.                                                                              |Anyone can join our group.                                                                                        |          3753
prinzipiell zustimmen                  |agree in principle                     |prinzipiell                                                                      |adj                             |in principle                                                 |Prinzipiell haben meine Eltern recht, aber ich höre trotzdem nicht auf sie.                                            |In principle, my parents are right, but I still don’t listen to them.                                             |          3754
Licht reflektieren                     |reflect light                          |reflektieren, reflektiert, reflektierte, hat reflektiert                         |verb                            |to reflect                                                   |Mein Gesicht wird von deiner Brille reflektiert.                                                                       |My face is reflected off your glasses.                                                                            |          3755
wichtige Unterlagen                    |important documents                    |die Unterlage, -n                                                                |die (pl)                        |documents                                                    |Bitte bringen Sie mir die Unterlagen bis morgen vorbei.                                                                |Please bring the documents to me by tomorrow.                                                                     |          3756
eine feste Unterlage                   |a solid base                           |die Unterlage, -n                                                                |die                             |base, pad, document                                          |Schicken Sie uns Ihre Unterlagen bitte per Post.                                                                       |Please send your documents by mail.                                                                               |          3756
ein Kind vernachlässigen               |neglect a child                        |vernachlässigen, vernachlässigt, vernachlässigte, hat vernachlässigt             |verb                            |to neglect                                                   |Ich vernachlässige meinen Mann, weil ich so viel arbeite.                                                              |I neglect my husband because I work so much.                                                                      |          3757
im Meer versinken                      |sink in the sea                        |versinken, versinkt, versank, ist versunken                                      |verb                            |to sink                                                      |Nach dem Sturm versinkt das Schiff im Meer.                                                                            |After the storm, the ship sinks into the sea.                                                                     |          3758
Wasser erhitzen                        |heat water                             |erhitzen, erhitzt, erhitzte, hat erhitzt                                         |verb                            |to heat (up)                                                 |Kannst du bitte schon das Wasser für den Tee erhitzen?                                                                 |Can you heat the water for the tea already, please?                                                               |          3759
Ersatz bekommen                        |get a replacement                      |der Ersatz, -̈e                                                                   |der                             |replacement, compensation                                    |Für das Spiel brauchen wir einen Ersatz für Paul, er ist krank.                                                        |For the game we need a replacement for Paul, he’s sick.                                                           |          3760
die EU-Kommission entscheidet          |the European Commission decides        |die EU-Kommission                                                                |die                             |European Commission                                          |Die EU-Kommission ist die Regierung der Europäischen Union.                                                            |The European Commission is the government of the European Union.                                                  |          3761
hessische Tradition                    |Hessian tradition                      |hessisch                                                                         |adj                             |Hessian                                                      |Die hessische Hauptstadt ist Wiesbaden.                                                                                |The Hessian capital is Wiesbaden.                                                                                 |          3762
Hessisch verstehen                     |to understand Hessian                  |hessisch                                                                         |das                             |Hessian                                                      |Ann-Katrins Dialekt ist Hessisch.                                                                                      |Ann-Katrin’s dialect is Hessian.                                                                                  |          3762
in passiver Rolle                      |in a passive role                      |passiv                                                                           |adj                             |passive                                                      |Passives Rauchen ist auch gefährlich.                                                                                  |Passive smoking is dangerous, too.                                                                                |          3763
Rauch einatmen                         |inhale smoke                           |der Rauch, -e                                                                    |der                             |smoke, fume                                                  |Bei einem Feuer entsteht Rauch.                                                                                        |A fire causes smoke.                                                                                              |          3764
es stinkt                              |it stinks                              |stinken, stinkt, stank, hat gestunken                                            |verb                            |to stink                                                     |Wenn du dich nicht wäschst, stinkst du.                                                                                |If you don’t wash, you stink.                                                                                     |          3765
tschüss sagen                          |say bye                                |tschüss                                                                          |interj                          |bye                                                          |Tschüss, wir sehen uns morgen.                                                                                         |Bye, see you tomorrow.                                                                                            |          3766
der Vorgänger spricht                  |the predecessor speaks                 |der Vorgänger, -                                                                 |der                             |predecessor                                                  |Judith ist meine Vorgängerin bei der Arbeit, ich übernehme ihren Job ab sofort.                                        |Judith is my predecessor at work, I’m taking over her job from now on.                                            |          3767
etwas anstarren                        |stare at something                     |anstarren, starrt an, starrte an, hat angestarrt                                 |verb                            |to gaze, stare at                                            |Die Menschen starren mich oft an, weil ich anders aussehe.                                                             |People often stare at me because I look different.                                                                |          3768
detaillierter Bericht                  |detailed report                        |detailliert                                                                      |adj                             |detailed                                                     |Mein Freund schreibt mir detailliert auf, was ich morgen machen muss.                                                  |My friend writes out in detail what I have to do tomorrow.                                                        |          3769
eine Fremdsprache lernen               |learn a foreign language               |die Fremdsprache, -n                                                             |die                             |foreign language                                             |Ich bin Lehrerin für Deutsch als Fremdsprache.                                                                         |I am a teacher of German as a foreign language.                                                                   |          3770
das Gepäck packen                      |pack the luggage                       |das Gepäck, -e                                                                   |das                             |luggage                                                      |Für meine Reise brauche ich nur wenig Gepäck.                                                                          |I don’t need much luggage for my trip.                                                                            |          3771
unglücklich sein                       |be unhappy                             |unglücklich                                                                      |adj                             |unhappy, unfortunate                                         |Martina ist sehr unglücklich darüber, dass sie keinen Job mehr hat.                                                    |Martina is very unhappy that she no longer has a job.                                                             |          3772
starker Wind weht                      |strong wind blows                      |wehen, weht, wehte, hat geweht                                                   |verb                            |to blow, flutter                                             |Der Wind weht heute sehr stark.                                                                                        |The wind is blowing very strong today.                                                                            |          3773
eine App ausprobieren                  |try out an app                         |ausprobieren, probiert aus, probierte aus, hat ausprobiert                       |verb                            |to try out                                                   |Wenn ich koche, probiere ich gerne neue Gerichte aus.                                                                  |When I cook, I like to try new dishes.                                                                            |          3774
sich für eine Stelle bewerben          |apply for a job                        |bewerben (sich), bewirbt, bewarb, hat beworben                                   |verb                            |to apply                                                     |Sie können sich noch bis morgen für den Job bewerben.                                                                  |You can apply for the job until tomorrow.                                                                         |          3775
Hilfe erhoffen                         |hope for help                          |erhoffen, erhofft, erhoffte, hat erhofft                                         |verb                            |to expect, hope for                                          |Ich erhoffe mir von meinem Studium, dass ich viele praktische Erfahrungen sammeln kann.                                |I hope that my studies will give me a lot of practical experience.                                                |          3776
eine Feder finden                      |find a feather                         |die Feder, -n                                                                    |die                             |feather                                                      |Der Stoff meines Kleides ist so leicht wie eine Feder.                                                                 |The fabric of my dress is as light as a feather.                                                                  |          3777
die Feuerwehr rufen                    |call the fire brigade                  |die Feuerwehr, -en                                                               |die                             |fire brigade                                                 |In meinem Haus brennt es, ich muss sofort die Feuerwehr rufen.                                                         |My house is on fire; I have to call the fire brigade right now.                                                   |          3778
den Blick fixieren                     |fix the gaze                           |fixieren, fixiert, fixierte, hat fixiert                                         |verb                            |to fixate on sb/sth                                          |Sie ist sehr auf ihren Sohn fixiert.                                                                                   |She’s very fixated on her son.                                                                                    |          3779
ein Gemälde betrachten                 |view a painting                        |das Gemälde, -                                                                   |das                             |painting                                                     |Im Museum hängen viele berühmte Gemälde.                                                                               |There are many famous paintings in the museum.                                                                    |          3780
ein gemütliches Heim                   |a cozy home                            |das Heim, -e                                                                     |das                             |home, institution                                            |Kinder, die keine Eltern mehr haben, leben oft in einem Heim.                                                          |Children who no longer have parents often live in an institution.                                                 |          3781
einen Experten heranziehen             |consult an expert                      |heranziehen, zieht heran, zog heran, hat herangezogen                            |verb                            |to consult, draw near                                        |Für meine schriftliche Arbeit muss ich auch Meinungen von anderen Autoren heranziehen.                                 |For my written work I also have to consult the opinions of other authors.                                         |          3782
ein positives Image                    |a positive image                       |das Image, -s                                                                    |das                             |image                                                        |Das gute Image der Firma ist meinem Chef sehr wichtig.                                                                 |The good image of the company is very important to my boss.                                                       |          3783
